Side,Pad Name,IO Guide,IO Order,RDL Routing Order,Bump Name,Bump Row,Bump Col,Packaging Bump Name,Net Name,Bump Center X (Relative to LL Corner) (um),Bump Center Y (Relative to LL Corner) (um),Bump Center X (Relative to Die Center) (um),Bump Center Y (Relative to Die Center) (um)
left,pad_DL5_0_o,DL5,0,0,DL5_0_o,0,2,DL5_0_o,p_pad_DL5_0_o,565.0,311.0,-4935.0,-4189.0
left,pad_DL5_V18_0,DL5,1,-,DL5_V18_0,0,0,V18,VDDIO,283.0,311.0,-5217.0,-4189.0
left,pad_DL5_1_o,DL5,2,1,DL5_1_o,0,4,DL5_1_o,p_pad_DL5_1_o,847.0,311.0,-4653.0,-4189.0
left,pad_DL5_0_i,DL5,3,2,DL5_0_i,0,6,DL5_0_i,p_pad_DL5_0_i,1129.0,311.0,-4371.0,-4189.0
left,pad_DL5_1_i,DL5,4,3,DL5_1_i,0,8,DL5_1_i,p_pad_DL5_1_i,1411.0,311.0,-4089.0,-4189.0
left,pad_DL5_3_o,DL5,5,4,DL5_3_o,1,3,DL5_3_o,p_pad_DL5_3_o,706.0,453.0,-4794.0,-4047.0
left,pad_DL5_VZZ_0,DL5,6,-,DL5_VZZ_0,1,1,VSS,VSSIO,424.0,453.0,-5076.0,-4047.0
left,pad_DL5_2_o,DL5,7,5,DL5_2_o,1,5,DL5_2_o,p_pad_DL5_2_o,988.0,453.0,-4512.0,-4047.0
left,pad_DL5_2_i,DL5,8,6,DL5_2_i,1,7,DL5_2_i,p_pad_DL5_2_i,1270.0,453.0,-4230.0,-4047.0
left,pad_DL5_4_o,DL5,9,7,DL5_4_o,2,2,DL5_4_o,p_pad_DL5_4_o,565.0,595.0,-4935.0,-3905.0
left,pad_DL5_V18_1,DL5,10,-,DL5_V18_1,2,0,V18,VDDIO,283.0,595.0,-5217.0,-3905.0
left,pad_DL5_5_o,DL5,11,8,DL5_5_o,2,4,DL5_5_o,p_pad_DL5_5_o,847.0,595.0,-4653.0,-3905.0
left,pad_DL5_3_i,DL5,12,9,DL5_3_i,2,6,DL5_3_i,p_pad_DL5_3_i,1129.0,595.0,-4371.0,-3905.0
left,pad_DL5_4_i,DL5,13,10,DL5_4_i,2,8,DL5_4_i,p_pad_DL5_4_i,1411.0,595.0,-4089.0,-3905.0
left,pad_DL5_7_o,DL5,14,11,DL5_7_o,3,3,DL5_7_o,p_pad_DL5_7_o,706.0,737.0,-4794.0,-3763.0
left,pad_DL5_VZZ_1,DL5,15,-,DL5_VZZ_1,3,1,VSS,VSSIO,424.0,737.0,-5076.0,-3763.0
left,pad_DL5_6_o,DL5,16,12,DL5_6_o,3,5,DL5_6_o,p_pad_DL5_6_o,988.0,737.0,-4512.0,-3763.0
left,pad_DL5_6_i,DL5,17,13,DL5_6_i,3,7,DL5_6_i,p_pad_DL5_6_i,1270.0,737.0,-4230.0,-3763.0
left,pad_DL5_5_i,DL5,18,14,DL5_5_i,3,9,DL5_5_i,p_pad_DL5_5_i,1552.0,737.0,-3948.0,-3763.0
