Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
2,vdd_r_0_PAD,E,O,1.439207,1.207,0.075,0.044
4,vss_r_0_PAD,E,O,1.439207,1.137,0.075,0.044
6,v18_r_0_PAD,E,O,1.439207,1.067,0.075,0.044
8,vzz_r_0_PAD,E,O,1.439207,0.997,0.075,0.044
10,vdd_r_1_PAD,E,O,1.439207,0.892,0.075,0.044
12,vss_r_1_PAD,E,O,1.439207,0.822,0.075,0.044
14,v18_r_1_PAD,E,O,1.439207,0.752,0.075,0.044
16,vzz_r_1_PAD,E,O,1.439207,0.682,0.075,0.044
18,vdd_r_2_PAD,E,O,1.439207,0.612,0.075,0.044
20,vss_r_2_PAD,E,O,1.439207,0.542,0.075,0.044
22,v18_r_2_PAD,E,O,1.439207,0.472,0.075,0.044
24,vzz_r_2_PAD,E,O,1.439207,0.402,0.075,0.044
26,vdd_r_3_PAD,E,O,1.439207,0.297,0.075,0.044
28,vss_r_3_PAD,E,O,1.439207,0.227,0.075,0.044
30,v18_r_3_PAD,E,O,1.439207,0.157,0.075,0.044
32,vzz_r_3_PAD,E,O,1.439207,0.087,0.075,0.044
34,vdd_r_4_PAD,E,O,1.439207,0.017,0.075,0.044
36,vss_r_4_PAD,E,O,1.439207,-0.053,0.075,0.044
38,v18_r_4_PAD,E,O,1.439207,-0.123,0.075,0.044
40,vzz_r_4_PAD,E,O,1.439207,-0.193,0.075,0.044
42,vdd_r_5_PAD,E,O,1.439207,-0.263,0.075,0.044
44,vss_r_5_PAD,E,O,1.439207,-0.368,0.075,0.044
46,v18_r_5_PAD,E,O,1.439207,-0.438,0.075,0.044
48,vzz_r_5_PAD,E,O,1.439207,-0.508,0.075,0.044
50,vdd_r_6_PAD,E,O,1.439207,-0.578,0.075,0.044
52,vss_r_6_PAD,E,O,1.439207,-0.648,0.075,0.044
54,v18_r_6_PAD,E,O,1.439207,-0.718,0.075,0.044
56,vzz_r_6_PAD,E,O,1.439207,-0.788,0.075,0.044
58,vdd_r_7_PAD,E,O,1.439207,-0.858,0.075,0.044
60,vss_r_7_PAD,E,O,1.439207,-0.963,0.075,0.044
62,v18_r_7_PAD,E,O,1.439207,-1.033,0.075,0.044
64,vzz_r_7_PAD,E,O,1.439207,-1.103,0.075,0.044
66,vdd_r_8_PAD,E,O,1.439207,-1.173,0.075,0.044
68,vss_r_8_PAD,E,O,1.439207,-1.243,0.075,0.044
70,v18_b_0_PAD,S,O,1.207,-1.439207,0.044,0.075
72,vzz_b_0_PAD,S,O,1.137,-1.439207,0.044,0.075
74,vdd_b_0_PAD,S,O,1.067,-1.439207,0.044,0.075
76,vss_b_0_PAD,S,O,0.997,-1.439207,0.044,0.075
78,v18_b_1_PAD,S,O,0.892,-1.439207,0.044,0.075
80,vzz_b_1_PAD,S,O,0.822,-1.439207,0.044,0.075
82,vdd_b_1_PAD,S,O,0.752,-1.439207,0.044,0.075
84,vss_b_1_PAD,S,O,0.682,-1.439207,0.044,0.075
86,v18_b_2_PAD,S,O,0.612,-1.439207,0.044,0.075
88,vzz_b_2_PAD,S,O,0.542,-1.439207,0.044,0.075
90,vdd_b_2_PAD,S,O,0.472,-1.439207,0.044,0.075
92,vss_b_2_PAD,S,O,0.402,-1.439207,0.044,0.075
94,v18_b_3_PAD,S,O,0.297,-1.439207,0.044,0.075
96,vzz_b_3_PAD,S,O,0.227,-1.439207,0.044,0.075
98,vdd_b_3_PAD,S,O,0.157,-1.439207,0.044,0.075
100,vss_b_3_PAD,S,O,0.087,-1.439207,0.044,0.075
102,v18_b_4_PAD,S,O,0.017,-1.439207,0.044,0.075
104,vzz_b_4_PAD,S,O,-0.053,-1.439207,0.044,0.075
106,vdd_b_4_PAD,S,O,-0.123,-1.439207,0.044,0.075
108,vss_b_4_PAD,S,O,-0.193,-1.439207,0.044,0.075
110,v18_b_5_PAD,S,O,-0.263,-1.439207,0.044,0.075
112,vzz_b_5_PAD,S,O,-0.368,-1.439207,0.044,0.075
114,vdd_b_5_PAD,S,O,-0.438,-1.439207,0.044,0.075
116,vss_b_5_PAD,S,O,-0.508,-1.439207,0.044,0.075
118,v18_b_6_PAD,S,O,-0.578,-1.439207,0.044,0.075
120,vzz_b_6_PAD,S,O,-0.648,-1.439207,0.044,0.075
122,vdd_b_6_PAD,S,O,-0.718,-1.439207,0.044,0.075
124,vss_b_6_PAD,S,O,-0.788,-1.439207,0.044,0.075
126,v18_b_7_PAD,S,O,-0.858,-1.439207,0.044,0.075
128,vzz_b_7_PAD,S,O,-0.963,-1.439207,0.044,0.075
130,vdd_b_7_PAD,S,O,-1.033,-1.439207,0.044,0.075
132,vss_b_7_PAD,S,O,-1.103,-1.439207,0.044,0.075
134,v18_b_8_PAD,S,O,-1.173,-1.439207,0.044,0.075
136,vzz_b_8_PAD,S,O,-1.243,-1.439207,0.044,0.075
138,vdd_l_0_PAD,W,O,-1.439207,-1.218,0.075,0.044
140,vss_l_0_PAD,W,O,-1.439207,-1.144,0.075,0.044
142,v18_l_0_PAD,W,O,-1.439207,-1.07,0.075,0.044
144,vzz_l_0_PAD,W,O,-1.439207,-0.996,0.075,0.044
146,vdd_l_1_PAD,W,O,-1.439207,-0.885,0.075,0.044
148,vss_l_1_PAD,W,O,-1.439207,-0.811,0.075,0.044
150,v18_l_1_PAD,W,O,-1.439207,-0.737,0.075,0.044
152,vzz_l_1_PAD,W,O,-1.439207,-0.663,0.075,0.044
154,vdd_l_2_PAD,W,O,-1.439207,-0.591,0.075,0.044
156,vss_l_2_PAD,W,O,-1.439207,-0.517,0.075,0.044
158,v18_l_2_PAD,W,O,-1.439207,-0.443,0.075,0.044
160,vzz_l_2_PAD,W,O,-1.439207,-0.369,0.075,0.044
162,vdd_l_3_PAD,W,O,-1.439207,-0.258,0.075,0.044
164,vss_l_3_PAD,W,O,-1.439207,-0.184,0.075,0.044
166,v18_l_3_PAD,W,O,-1.439207,-0.11,0.075,0.044
168,vzz_l_3_PAD,W,O,-1.439207,-0.036,0.075,0.044
170,vdd_l_4_PAD,W,O,-1.439207,0.036,0.075,0.044
172,vss_l_4_PAD,W,O,-1.439207,0.11,0.075,0.044
174,v18_l_4_PAD,W,O,-1.439207,0.184,0.075,0.044
176,vzz_l_4_PAD,W,O,-1.439207,0.258,0.075,0.044
178,vdd_l_5_PAD,W,O,-1.439207,0.369,0.075,0.044
180,vss_l_5_PAD,W,O,-1.439207,0.443,0.075,0.044
182,v18_l_5_PAD,W,O,-1.439207,0.517,0.075,0.044
184,vzz_l_5_PAD,W,O,-1.439207,0.591,0.075,0.044
186,vdd_l_6_PAD,W,O,-1.439207,0.663,0.075,0.044
188,vss_l_6_PAD,W,O,-1.439207,0.737,0.075,0.044
190,v18_l_6_PAD,W,O,-1.439207,0.811,0.075,0.044
192,vzz_l_6_PAD,W,O,-1.439207,0.885,0.075,0.044
194,vdd_l_7_PAD,W,O,-1.439207,0.996,0.075,0.044
196,vss_l_7_PAD,W,O,-1.439207,1.07,0.075,0.044
198,v18_l_7_PAD,W,O,-1.439207,1.144,0.075,0.044
200,vzz_l_7_PAD,W,O,-1.439207,1.218,0.075,0.044
202,vdd_t_0_PAD,N,O,-1.26,1.439207,0.044,0.075
204,vss_t_0_PAD,N,O,-1.19,1.439207,0.044,0.075
206,v18_t_0_PAD,N,O,-1.12,1.439207,0.044,0.075
208,vzz_t_0_PAD,N,O,-1.05,1.439207,0.044,0.075
210,vdd_t_1_PAD,N,O,-0.945,1.439207,0.044,0.075
212,vss_t_1_PAD,N,O,-0.875,1.439207,0.044,0.075
214,v18_t_1_PAD,N,O,-0.805,1.439207,0.044,0.075
216,vzz_t_1_PAD,N,O,-0.735,1.439207,0.044,0.075
218,vdd_t_2_PAD,N,O,-0.665,1.439207,0.044,0.075
220,vss_t_2_PAD,N,O,-0.595,1.439207,0.044,0.075
222,v18_t_2_PAD,N,O,-0.525,1.439207,0.044,0.075
224,vzz_t_2_PAD,N,O,-0.42,1.439207,0.044,0.075
226,vdd_t_3_PAD,N,O,-0.35,1.439207,0.044,0.075
228,vss_t_3_PAD,N,O,-0.28,1.439207,0.044,0.075
230,v18_t_3_PAD,N,O,-0.21,1.439207,0.044,0.075
232,vzz_t_3_PAD,N,O,-0.14,1.439207,0.044,0.075
234,vdd_pll_PAD,N,O,-0.035,1.439207,0.044,0.075
236,vss_pll_PAD,N,O,0.035,1.439207,0.044,0.075
238,vdd_t_4_PAD,N,O,0.105,1.439207,0.044,0.075
240,vss_t_4_PAD,N,O,0.175,1.439207,0.044,0.075
242,v18_t_4_PAD,N,O,0.245,1.439207,0.044,0.075
244,vzz_t_4_PAD,N,O,0.315,1.439207,0.044,0.075
246,vdd_t_5_PAD,N,O,0.42,1.439207,0.044,0.075
248,vss_t_5_PAD,N,O,0.49,1.439207,0.044,0.075
250,v18_t_5_PAD,N,O,0.56,1.439207,0.044,0.075
252,vzz_t_5_PAD,N,O,0.63,1.439207,0.044,0.075
254,vdd_t_6_PAD,N,O,0.7,1.439207,0.044,0.075
256,vss_t_6_PAD,N,O,0.77,1.439207,0.044,0.075
258,v18_t_6_PAD,N,O,0.84,1.439207,0.044,0.075
260,vzz_t_6_PAD,N,O,0.91,1.439207,0.044,0.075
262,vdd_t_7_PAD,N,O,1.015,1.439207,0.044,0.075
264,vss_t_7_PAD,N,O,1.085,1.439207,0.044,0.075
266,v18_t_7_PAD,N,O,1.155,1.439207,0.044,0.075
268,vzz_t_7_PAD,N,O,1.225,1.439207,0.044,0.075
