Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
6,v18_r_0_PAD,E,O,1.439207,1.067,0.075,0.044
14,v18_r_1_PAD,E,O,1.439207,0.752,0.075,0.044
22,v18_r_2_PAD,E,O,1.439207,0.472,0.075,0.044
30,v18_r_3_PAD,E,O,1.439207,0.157,0.075,0.044
38,v18_r_4_PAD,E,O,1.439207,-0.123,0.075,0.044
46,v18_r_5_PAD,E,O,1.439207,-0.438,0.075,0.044
54,v18_r_6_PAD,E,O,1.439207,-0.718,0.075,0.044
62,v18_r_7_PAD,E,O,1.439207,-1.033,0.075,0.044
70,v18_b_0_PAD,S,O,1.207,-1.439207,0.044,0.075
78,v18_b_1_PAD,S,O,0.892,-1.439207,0.044,0.075
86,v18_b_2_PAD,S,O,0.612,-1.439207,0.044,0.075
94,v18_b_3_PAD,S,O,0.297,-1.439207,0.044,0.075
102,v18_b_4_PAD,S,O,0.017,-1.439207,0.044,0.075
110,v18_b_5_PAD,S,O,-0.263,-1.439207,0.044,0.075
118,v18_b_6_PAD,S,O,-0.578,-1.439207,0.044,0.075
126,v18_b_7_PAD,S,O,-0.858,-1.439207,0.044,0.075
134,v18_b_8_PAD,S,O,-1.173,-1.439207,0.044,0.075
142,v18_l_0_PAD,W,O,-1.439207,-1.07,0.075,0.044
150,v18_l_1_PAD,W,O,-1.439207,-0.737,0.075,0.044
158,v18_l_2_PAD,W,O,-1.439207,-0.443,0.075,0.044
166,v18_l_3_PAD,W,O,-1.439207,-0.11,0.075,0.044
174,v18_l_4_PAD,W,O,-1.439207,0.184,0.075,0.044
182,v18_l_5_PAD,W,O,-1.439207,0.517,0.075,0.044
190,v18_l_6_PAD,W,O,-1.439207,0.811,0.075,0.044
198,v18_l_7_PAD,W,O,-1.439207,1.144,0.075,0.044
206,v18_t_0_PAD,N,O,-1.12,1.439207,0.044,0.075
214,v18_t_1_PAD,N,O,-0.805,1.439207,0.044,0.075
222,v18_t_2_PAD,N,O,-0.525,1.439207,0.044,0.075
230,v18_t_3_PAD,N,O,-0.21,1.439207,0.044,0.075
242,v18_t_4_PAD,N,O,0.245,1.439207,0.044,0.075
250,v18_t_5_PAD,N,O,0.56,1.439207,0.044,0.075
258,v18_t_6_PAD,N,O,0.84,1.439207,0.044,0.075
266,v18_t_7_PAD,N,O,1.155,1.439207,0.044,0.075
