Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
2,vdd_r_0_PAD,E,O,1.439207,1.207,0.075,0.044
10,vdd_r_1_PAD,E,O,1.439207,0.892,0.075,0.044
18,vdd_r_2_PAD,E,O,1.439207,0.612,0.075,0.044
26,vdd_r_3_PAD,E,O,1.439207,0.297,0.075,0.044
34,vdd_r_4_PAD,E,O,1.439207,0.017,0.075,0.044
42,vdd_r_5_PAD,E,O,1.439207,-0.263,0.075,0.044
50,vdd_r_6_PAD,E,O,1.439207,-0.578,0.075,0.044
58,vdd_r_7_PAD,E,O,1.439207,-0.858,0.075,0.044
66,vdd_r_8_PAD,E,O,1.439207,-1.173,0.075,0.044
74,vdd_b_0_PAD,S,O,1.067,-1.439207,0.044,0.075
82,vdd_b_1_PAD,S,O,0.752,-1.439207,0.044,0.075
90,vdd_b_2_PAD,S,O,0.472,-1.439207,0.044,0.075
98,vdd_b_3_PAD,S,O,0.157,-1.439207,0.044,0.075
106,vdd_b_4_PAD,S,O,-0.123,-1.439207,0.044,0.075
114,vdd_b_5_PAD,S,O,-0.438,-1.439207,0.044,0.075
122,vdd_b_6_PAD,S,O,-0.718,-1.439207,0.044,0.075
130,vdd_b_7_PAD,S,O,-1.033,-1.439207,0.044,0.075
138,vdd_l_0_PAD,W,O,-1.439207,-1.218,0.075,0.044
146,vdd_l_1_PAD,W,O,-1.439207,-0.885,0.075,0.044
154,vdd_l_2_PAD,W,O,-1.439207,-0.591,0.075,0.044
162,vdd_l_3_PAD,W,O,-1.439207,-0.258,0.075,0.044
170,vdd_l_4_PAD,W,O,-1.439207,0.036,0.075,0.044
178,vdd_l_5_PAD,W,O,-1.439207,0.369,0.075,0.044
186,vdd_l_6_PAD,W,O,-1.439207,0.663,0.075,0.044
194,vdd_l_7_PAD,W,O,-1.439207,0.996,0.075,0.044
202,vdd_t_0_PAD,N,O,-1.26,1.439207,0.044,0.075
210,vdd_t_1_PAD,N,O,-0.945,1.439207,0.044,0.075
218,vdd_t_2_PAD,N,O,-0.665,1.439207,0.044,0.075
226,vdd_t_3_PAD,N,O,-0.35,1.439207,0.044,0.075
234,vdd_pll_PAD,N,O,-0.035,1.439207,0.044,0.075
238,vdd_t_4_PAD,N,O,0.105,1.439207,0.044,0.075
246,vdd_t_5_PAD,N,O,0.42,1.439207,0.044,0.075
254,vdd_t_6_PAD,N,O,0.7,1.439207,0.044,0.075
262,vdd_t_7_PAD,N,O,1.015,1.439207,0.044,0.075
