#padname,center_x,center_y,side
VZZ_L_6,570,4896.5,top
V33_L_6,695,4896.5,top
VSS_L_16,820,4896.5,top
VDD_L_15,900,4896.5,top
VSS_L_15,980,4896.5,top
VDD_L_14,1060,4896.5,top
sdi_B_sclk_ex_i,1100,4781.5,top
VZZ_L_5,1140,4896.5,top
sdi_B_tkn_ex_o,1180,4781.5,top
V33_L_5,1220,4896.5,top
sdi_B_data_7_i,1260,4781.5,top
VSS_L_14,1300,4896.5,top
sdi_B_data_6_i,1340,4781.5,top
VDD_L_13,1380,4896.5,top
sdi_B_data_5_i,1420,4781.5,top
VSS_L_13,1460,4896.5,top
sdi_B_data_4_i,1500,4781.5,top
VDD_L_12,1540,4896.5,top
misc_L_7_i,1580,4781.5,top
VSS_L_12,1620,4896.5,top
sdi_B_sclk_i,1660,4781.5,top
VDD_L_11,1700,4896.5,top
misc_L_6_i,1740,4781.5,top
VZZ_L_4,1780,4896.5,top
sdi_B_token_o,1820,4781.5,top
V33_L_4,1860,4896.5,top
misc_L_5_i,1900,4781.5,top
VSS_L_11,1940,4896.5,top
sdi_B_ncmd_i,1980,4781.5,top
VDD_L_10,2020,4896.5,top
sdi_B_data_3_i,2060,4781.5,top
VSS_L_10,2100,4896.5,top
sdi_B_data_2_i,2140,4781.5,top
VDD_L_9,2180,4896.5,top
sdi_B_data_1_i,2220,4781.5,top
VSS_L_9,2260,4896.5,top
sdi_B_data_0_i,2300,4781.5,top
VDD_L_8,2340,4896.5,top
misc_L_4_i,2380,4781.5,top
VSS_L_8,2420,4896.5,top
clk_0_n_i,2460,4781.5,top
VDD_L_7,2500,4896.5,top
clk_0_p_i,2540,4781.5,top
VZZ_L_3,2580,4896.5,top
misc_L_3_o,2620,4781.5,top
V33_L_3,2660,4896.5,top
sdi_A_data_0_i,2700,4781.5,top
VSS_L_7,2740,4896.5,top
sdi_A_data_1_i,2780,4781.5,top
VDD_L_6,2820,4896.5,top
sdi_A_data_2_i,2860,4781.5,top
VSS_L_6,2900,4896.5,top
sdi_A_ncmd_i,2940,4781.5,top
VDD_L_5,2980,4896.5,top
misc_L_2_i,3020,4781.5,top
VSS_L_5,3060,4896.5,top
sdi_A_sclk_i,3100,4781.5,top
VDD_L_4,3140,4896.5,top
misc_L_1_i,3180,4781.5,top
VZZ_L_2,3220,4896.5,top
sdi_A_token_o,3260,4781.5,top
V33_L_2,3300,4896.5,top
misc_L_0_i,3340,4781.5,top
VSS_L_4,3380,4896.5,top
sdi_A_data_3_i,3420,4781.5,top
VDD_L_3,3460,4896.5,top
sdi_A_data_4_i,3500,4781.5,top
VSS_L_3,3540,4896.5,top
sdi_A_data_5_i,3580,4781.5,top
VDD_L_2,3620,4896.5,top
sdi_A_data_6_i,3660,4781.5,top
VSS_L_2,3700,4896.5,top
sdi_A_data_7_i,3740,4781.5,top
VDD_L_1,3780,4896.5,top
sdi_A_tkn_ex_o,3820,4781.5,top
VZZ_L_1,3860,4896.5,top
sdi_A_sclk_ex_i,3900,4781.5,top
