Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
1,1,V33,V33_L_2,Left,Outside,4.0004283351774,21.6114628098068,-1.4384205,0.83025,-5.15763,2.30365,6,
2,2,V33,V33_L_3,Left,Outside,3.86636365728966,4.25846464240038,-1.4384205,0.18225,-5.29411,0.46935,14,
3,3,V33,V33_L_4,Left,Outside,3.9537220247433,17.3291811615296,-1.4384205,-0.62775,-5.21268,-1.80541,24,
4,4,V33,V33_B_2,Bottom,Outside,4.16757674070439,31.8118300994458,-1.24875,-1.4384205,-3.44561,-4.97996,33,
5,5,V33,V33_B_3,Bottom,Outside,4.01310574595665,22.9639384954711,-0.92475,-1.4384205,-2.49047,-5.13349,37,
6,6,V33,V33_B_4,Bottom,Outside,3.91593712621644,14.1980636343617,-0.60075,-1.4384205,-1.56123,-5.23474,41,
7,7,V33,V33_B_5,Bottom,Outside,,,,,-0.51145,-5.29301,47,No bond pad - leave disconnected
8,8,V33,V33_B_6,Bottom,Outside,3.92691159504136,13.7711582594813,0.39825,-1.4384205,1.33303,-5.25245,53,
9,9,V33,V33_B_7,Bottom,Outside,3.97599514716005,19.4342099898377,0.72225,-1.4384205,2.04516,-5.18788,57,
10,10,V33,V33_B_8,Bottom,Outside,4.10161458509576,27.8921326765169,1.04625,-1.4384205,2.96502,-5.06355,61,
11,11,V33,V33_R_4,Right,Outside,3.97098662999137,18.4795745503959,1.4384205,-0.62775,5.20465,-1.88642,73,
12,12,V33,V33_R_3,Right,Outside,3.8669764614761,4.43654764670613,1.4384205,0.18225,5.29381,0.48138,83,
13,13,V33,V33_R_2,Right,Outside,3.95611408889838,18.9536750805114,1.4384205,0.83025,5.18004,2.11521,91,
14,14,V33,V33_T_8,Top,Outside,4.0590009126767,25.9618600806822,1.03275,1.4384205,2.80967,5.08781,100,
15,15,V33,V33_T_7,Top,Outside,3.94054978538405,16.9679935266375,0.70875,1.4384205,1.85875,5.20743,104,
16,16,V33,V33_T_6,Top,Outside,3.90485213180861,11.6136378969725,0.38475,1.4384205,1.17084,5.26333,108,
17,17,V33,V33_T_5,Top,Outside,3.86253167682289,2.05832705997357,-0.10125,1.4384205,-0.23998,5.29846,114,
18,18,V33,V33_T_4,Top,Outside,3.89464151362487,12.0201318937504,-0.58725,1.4384205,-1.39833,5.24767,120,
19,19,V33,V33_T_3,Top,Outside,3.9794862524188,21.0104823385803,-0.91125,1.4384205,-2.33805,5.15333,124,
20,20,V33,V33_T_2,Top,Outside,4.09719609114822,29.0578944842238,-1.23525,1.4384205,-3.22523,5.0199,128,
