Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
1,1,sdi_A_data_7_i,sdi_A_data_7_i,Left,Inside,4.99968608531978,33.6431575511065,-1.3520205,1.27575,-5.51428,4.04567,0,
2,2,VSS,VSS_L_2,Left,Outside,2.09467221715481,20.5344723274052,-1.4384205,1.23525,-3.4,1.97,1,
3,3,sdi_A_data_6_i,sdi_A_data_6_i,Left,Inside,4.96218620360424,31.5551977845145,-1.3520205,1.19475,-5.58048,3.79156,1,
4,4,VDD,VDD_L_2,Left,Outside,3.15815377221412,24.5064792207394,-1.4384205,1.15425,-4.31207,2.46424,2,
5,5,sdi_A_data_5_i,sdi_A_data_5_i,Left,Inside,4.92706356092148,29.4517492997254,-1.3520205,1.11375,-5.64236,3.53634,2,
6,6,VSS,VSS_L_3,Left,Outside,2.05034258047777,16.9207639509293,-1.4384205,1.07325,-3.4,1.67,3,
7,7,sdi_A_data_4_i,sdi_A_data_4_i,Left,Inside,4.89435156527402,27.3333063207232,-1.3520205,1.03275,-5.69992,3.28007,3,
8,8,VDD,VDD_L_3,Left,Outside,3.12598630379921,20.5817483096553,-1.4384205,0.99225,-4.36488,2.09117,4,
9,9,sdi_A_data_3_i,sdi_A_data_3_i,Left,Inside,4.86405260598611,25.2007437101798,-1.3520205,0.95175,-5.75312,3.02282,4,
10,10,VSS,VSS_L_4,Left,Outside,2.02155155692855,13.9910155822024,-1.4384205,0.91125,-3.4,1.4,5,
11,11,misc_L_0_i,misc_L_0_i,Left,Inside,4.83621974246934,23.0549470461391,-1.3520205,0.87075,-5.80197,2.76468,5,
12,12,V33,V33_L_2,Left,Outside,4.0004283351774,21.6114628098068,-1.4384205,0.83025,-5.15763,2.30365,6,
13,13,sdi_A_token_o,sdi_A_token_o,Left,Inside,4.81086072683156,20.8965983567072,-1.3520205,0.78975,-5.84645,2.5057,6,
14,14,VSS,VZZ_L_2,Left,Outside,2.02203602770085,14.0460057313518,-1.4384205,0.74925,-3.4,1.24,7,
15,15,misc_L_1_i,misc_L_1_i,Left,Inside,4.78799349205701,18.7267482786931,-1.3520205,0.70875,-5.88654,2.24596,7,
16,16,VDD,VDD_L_4,Left,Outside,3.10767998871349,15.7400380641362,-1.4384205,0.66825,-4.42957,1.51128,8,
17,17,sdi_A_sclk_i,sdi_A_sclk_i,Left,Inside,4.76764856156368,16.5463134167749,-1.3520205,0.62775,-5.92224,1.98553,8,
18,18,VSS,VSS_L_5,Left,Outside,1.99483876474272,10.4772018101517,-1.4384205,0.58725,-3.4,0.95,9,
19,19,misc_L_2_i,misc_L_2_i,Left,Inside,4.74984522503421,14.3563100109209,-1.3520205,0.54675,-5.95354,1.72448,9,
20,20,VDD,VDD_L_5,Left,Outside,3.08796790587277,11.9363733981548,-1.4384205,0.50625,-4.45962,1.14492,10,
21,21,sdi_A_ncmd_i,sdi_A_ncmd_i,Left,Inside,4.7346005889188,12.1578022415396,-1.3520205,0.46575,-5.98043,1.46288,10,
22,22,VSS,VSS_L_6,Left,Outside,1.97678949241447,7.11214784968125,-1.4384205,0.42525,-3.4,0.67,11,
23,23,sdi_A_data_2_i,sdi_A_data_2_i,Left,Inside,4.72193929902855,9.95187529684695,-1.3520205,0.38475,-6.00291,1.2008,11,
24,24,VDD,VDD_L_6,Left,Outside,3.07115531066409,7.5855093328165,-1.4384205,0.34425,-4.4827,0.74966,12,
25,25,sdi_A_data_1_i,sdi_A_data_1_i,Left,Inside,4.71185140762846,7.73947631167142,-1.3520205,0.30375,-6.02095,0.93829,12,
26,26,VSS,VSS_L_7,Left,Outside,1.96634043271257,3.98787891174718,-1.4384205,0.26325,-3.4,0.4,13,
27,27,sdi_A_data_0_i,sdi_A_data_0_i,Left,Inside,4.70438169262978,5.52208556656037,-1.3520205,0.22275,-6.03457,0.67545,13,
28,28,V33,V33_L_3,Left,Outside,3.86636365728966,4.25846464240038,-1.4384205,0.18225,-5.29411,0.46935,14,
29,29,misc_L_3_o,misc_L_3_o,Left,Inside,4.69952485109615,3.30056694293137,-1.3520205,0.14175,-6.04375,0.41232,14,
30,30,VSS,VZZ_L_3,Left,Outside,1.96179017668054,0.839698684046384,-1.4384205,0.10125,-3.4,0.13,15,
31,31,clk_0_p_i,clk_0_p_i,Left,Inside,4.69729819122975,1.07625782295759,-1.3520205,0.06075,-6.04849,0.14898,15,
