Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
1,1,VSS,VSS_L_0,Left,Outside,1.318758886,44.84639238,-2.465,1.93,-3.4,2.86,1,
2,2,V33,V33_L_0,Left,Outside,3.319980917,44.33942871,-2.465,1.805,-4.83949,4.12536,2,
3,3,VSS,VZZ_L_0,Left,Outside,1.34726575,46.05255994,-2.465,1.68,-3.4,2.65,3,
4,4,VDD,VDD_L_0,Left,Outside,2.439976287,46.4118452,-2.465,1.6,-4.14729,3.36731,4,
5,5,VSS,VSS_L_1,Left,Outside,1.292290171,43.65398956,-2.465,1.52,-3.4,2.41207,5,
6,6,V33,V33_L_1,Left,Outside,3.334522397,42.22326027,-2.465,1.44,-4.93432,3.68087,6,
7,7,sdi_A_sclk_ex_i,sdi_A_sclk_ex_i,Left,Inside,4.350187934,46.39935649,-2.369,1.4,-5.36901,4.55025,6,
8,8,VSS,VZZ_L_1,Left,Outside,1.312069678,44.55195403,-2.465,1.36,-3.4,2.28049,7,
9,9,sdi_A_tkn_ex_o,sdi_A_tkn_ex_o,Left,Inside,4.280919345,44.08962822,-2.369,1.32,-5.44378,4.29859,7,
10,10,VDD,VDD_L_1,Left,Outside,2.368408104,41.06781303,-2.465,1.28,-4.25062,2.83593,8,
11,11,sdi_A_data_7_i,sdi_A_data_7_i,Left,Inside,4.214803723,41.73377576,-2.369,1.24,-5.51428,4.04567,8,
12,12,VSS,VSS_L_2,Left,Outside,1.211249355,39.47245985,-2.465,1.2,-3.4,1.97,9,
13,13,sdi_A_data_6_i,sdi_A_data_6_i,Left,Inside,4.151952772,39.33197309,-2.369,1.16,-5.58048,3.79156,9,
14,14,VDD,VDD_L_2,Left,Outside,2.284436202,36.04596077,-2.465,1.12,-4.31207,2.46424,10,
15,15,sdi_A_data_5_i,sdi_A_data_5_i,Left,Inside,4.092492136,36.88468188,-2.369,1.08,-5.64236,3.53634,10,
16,16,VSS,VSS_L_3,Left,Outside,1.127441795,33.97196331,-2.465,1.04,-3.4,1.67,11,
17,17,sdi_A_data_4_i,sdi_A_data_4_i,Left,Inside,4.036551406,34.39228746,-2.369,1,-5.69992,3.28007,11,
18,18,VDD,VDD_L_3,Left,Outside,2.211128577,30.76915558,-2.465,0.96,-4.36488,2.09117,12,
19,19,sdi_A_data_3_i,sdi_A_data_3_i,Left,Inside,3.984233945,31.85593642,-2.369,0.92,-5.75312,3.02282,12,
20,20,VSS,VSS_L_4,Left,Outside,1.069871488,29.08061217,-2.465,0.88,-3.4,1.4,13,
21,21,misc_L_0_i,misc_L_0_i,Left,Inside,3.935692585,29.27698399,-2.369,0.84,-5.80197,2.76468,13,
22,22,V33,V33_L_2,Left,Outside,3.08402653,29.18037632,-2.465,0.8,-5.15763,2.30365,14,
23,23,sdi_A_token_o,sdi_A_token_o,Left,Inside,3.89103161,26.65691558,-2.369,0.76,-5.84645,2.5057,14,
24,24,VSS,VZZ_L_2,Left,Outside,1.069871488,29.08061217,-2.465,0.72,-3.4,1.24,15,
25,25,misc_L_1_i,misc_L_1_i,Left,Inside,3.850366005,23.99796483,-2.369,0.68,-5.88654,2.24596,15,
26,26,VDD,VDD_L_4,Left,Outside,2.149107751,23.91712066,-2.465,0.64,-4.42957,1.51128,16,
27,27,sdi_A_sclk_i,sdi_A_sclk_i,Left,Inside,3.813818019,21.30251405,-2.369,0.6,-5.92224,1.98553,16,
28,28,VSS,VSS_L_5,Left,Outside,1.013076996,22.64161733,-2.465,0.56,-3.4,0.95,17,
29,29,misc_L_2_i,misc_L_2_i,Left,Inside,3.781494292,18.57341938,-2.369,0.52,-5.95354,1.72448,17,
30,30,VDD,VDD_L_5,Left,Outside,2.102528847,18.43615527,-2.465,0.48,-4.45962,1.14492,18,
31,31,sdi_A_ncmd_i,sdi_A_ncmd_i,Left,Inside,3.753493058,15.81392883,-2.369,0.44,-5.98043,1.46288,18,
