#padname,center_x,center_y,side
VZZ_L_6,103.5,570,left
V33_L_6,103.5,695,left
VSS_L_16,103.5,820,left
VDD_L_15,103.5,900,left
VSS_L_15,103.5,980,left
VDD_L_14,103.5,1060,left
sdi_B_sclk_ex_i,218.5,1100,left
VZZ_L_5,103.5,1140,left
sdi_B_tkn_ex_o,218.5,1180,left
V33_L_5,103.5,1220,left
sdi_B_data_7_i,218.5,1260,left
VSS_L_14,103.5,1300,left
sdi_B_data_6_i,218.5,1340,left
VDD_L_13,103.5,1380,left
sdi_B_data_5_i,218.5,1420,left
VSS_L_13,103.5,1460,left
sdi_B_data_4_i,218.5,1500,left
VDD_L_12,103.5,1540,left
misc_L_7_i,218.5,1580,left
VSS_L_12,103.5,1620,left
sdi_B_sclk_i,218.5,1660,left
VDD_L_11,103.5,1700,left
misc_L_6_i,218.5,1740,left
VZZ_L_4,103.5,1780,left
sdi_B_token_o,218.5,1820,left
V33_L_4,103.5,1860,left
misc_L_5_i,218.5,1900,left
VSS_L_11,103.5,1940,left
sdi_B_ncmd_i,218.5,1980,left
VDD_L_10,103.5,2020,left
sdi_B_data_3_i,218.5,2060,left
VSS_L_10,103.5,2100,left
sdi_B_data_2_i,218.5,2140,left
VDD_L_9,103.5,2180,left
sdi_B_data_1_i,218.5,2220,left
VSS_L_9,103.5,2260,left
sdi_B_data_0_i,218.5,2300,left
VDD_L_8,103.5,2340,left
misc_L_4_i,218.5,2380,left
VSS_L_8,103.5,2420,left
clk_0_n_i,218.5,2460,left
VDD_L_7,103.5,2500,left
clk_0_p_i,218.5,2540,left
VZZ_L_3,103.5,2580,left
misc_L_3_o,218.5,2620,left
V33_L_3,103.5,2660,left
sdi_A_data_0_i,218.5,2700,left
VSS_L_7,103.5,2740,left
sdi_A_data_1_i,218.5,2780,left
VDD_L_6,103.5,2820,left
sdi_A_data_2_i,218.5,2860,left
VSS_L_6,103.5,2900,left
sdi_A_ncmd_i,218.5,2940,left
VDD_L_5,103.5,2980,left
misc_L_2_i,218.5,3020,left
VSS_L_5,103.5,3060,left
sdi_A_sclk_i,218.5,3100,left
VDD_L_4,103.5,3140,left
misc_L_1_i,218.5,3180,left
VZZ_L_2,103.5,3220,left
sdi_A_token_o,218.5,3260,left
V33_L_2,103.5,3300,left
misc_L_0_i,218.5,3340,left
VSS_L_4,103.5,3380,left
sdi_A_data_3_i,218.5,3420,left
VDD_L_3,103.5,3460,left
sdi_A_data_4_i,218.5,3500,left
VSS_L_3,103.5,3540,left
sdi_A_data_5_i,218.5,3580,left
VDD_L_2,103.5,3620,left
sdi_A_data_6_i,218.5,3660,left
VSS_L_2,103.5,3700,left
sdi_A_data_7_i,218.5,3740,left
VDD_L_1,103.5,3780,left
sdi_A_tkn_ex_o,218.5,3820,left
VZZ_L_1,103.5,3860,left
sdi_A_sclk_ex_i,218.5,3900,left
V33_L_1,103.5,3940,left
VSS_L_1,103.5,4020,left
VDD_L_0,103.5,4100,left
VZZ_L_0,103.5,4180,left
V33_L_0,103.5,4305,left
VSS_L_0,103.5,4430,left
V33_T_0,550,4896.5,top
VZZ_T_0,675,4896.5,top
VDD_T_0,800,4896.5,top
VSS_T_0,880,4896.5,top
V33_T_1,960,4896.5,top
VZZ_T_1,1040,4896.5,top
sdo_A_tkn_ex_i,1080,4781.5,top
VDD_T_1,1120,4896.5,top
sdo_A_sclk_ex_o,1160,4781.5,top
VSS_T_1,1200,4896.5,top
sdo_A_data_8_o,1240,4781.5,top
V33_T_2,1280,4896.5,top
sdo_A_data_7_o,1320,4781.5,top
VZZ_T_2,1360,4896.5,top
sdo_A_data_6_o,1400,4781.5,top
VDD_T_2,1440,4896.5,top
sdo_A_data_5_o,1480,4781.5,top
VSS_T_2,1520,4896.5,top
sdo_A_data_4_o,1560,4781.5,top
V33_T_3,1600,4896.5,top
sdo_A_data_3_o,1640,4781.5,top
VZZ_T_3,1680,4896.5,top
sdo_A_data_2_o,1720,4781.5,top
VDD_T_3,1760,4896.5,top
sdo_A_data_1_o,1800,4781.5,top
VSS_T_3,1840,4896.5,top
sdo_A_data_0_o,1880,4781.5,top
V33_T_4,1920,4896.5,top
sdo_A_ncmd_o,1960,4781.5,top
VZZ_T_4,2000,4896.5,top
sdo_A_token_i,2060,4781.5,top
VDD_T_4,2100,4896.5,top
misc_T_0_i,2140,4781.5,top
VSS_T_4,2180,4896.5,top
sdo_A_sclk_o,2220,4781.5,top
VDD_T_5,2260,4896.5,top
misc_T_1_i,2300,4781.5,top
VSS_T_5,2340,4896.5,top
SMA_out_p_o,2380,4781.5,top
V33_T_5,2420,4896.5,top
SMA_out_n_o,2460,4781.5,top
VZZ_T_5,2500,4896.5,top
reset_i,2540,4781.5,top
VDD_T_6,2580,4896.5,top
misc_T_2_i,2620,4781.5,top
VSS_T_6,2660,4896.5,top
SMA_in_p_i,2700,4781.5,top
VDD_T_7,2740,4896.5,top
SMA_in_n_i,2780,4781.5,top
VSS_T_7,2820,4896.5,top
sdo_B_sclk_o,2860,4781.5,top
V33_T_6,2900,4896.5,top
JTAG_TDO_o,2940,4781.5,top
VZZ_T_6,2980,4896.5,top
sdo_B_token_i,3020,4781.5,top
VDD_T_8,3080,4896.5,top
sdo_B_ncmd_o,3120,4781.5,top
VSS_T_8,3160,4896.5,top
sdo_B_data_0_o,3200,4781.5,top
V33_T_7,3240,4896.5,top
sdo_B_data_1_o,3280,4781.5,top
VZZ_T_7,3320,4896.5,top
sdo_B_data_2_o,3360,4781.5,top
VDD_T_9,3400,4896.5,top
sdo_B_data_3_o,3440,4781.5,top
VSS_T_9,3480,4896.5,top
sdo_B_data_4_o,3520,4781.5,top
V33_T_8,3560,4896.5,top
