Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
7,sdi_A_sclk_ex_i_PAD,W,I,-2.347607,1.53,0.075,0.044
9,sdi_A_tkn_ex_o_PAD,W,I,-2.347607,1.41,0.075,0.044
11,sdi_A_data_7_i_PAD,W,I,-2.347607,1.33,0.075,0.044
13,sdi_A_data_6_i_PAD,W,I,-2.347607,1.25,0.075,0.044
15,sdi_A_data_5_i_PAD,W,I,-2.347607,1.17,0.075,0.044
17,sdi_A_data_4_i_PAD,W,I,-2.347607,1.075,0.075,0.044
19,sdi_A_data_3_i_PAD,W,I,-2.347607,0.995,0.075,0.044
21,misc_L_0_i_PAD,W,I,-2.347607,0.915,0.075,0.044
23,sdi_A_token_o_PAD,W,I,-2.347607,0.835,0.075,0.044
25,misc_L_1_i_PAD,W,I,-2.347607,0.755,0.075,0.044
27,sdi_A_sclk_i_PAD,W,I,-2.347607,0.635,0.075,0.044
29,misc_L_2_i_PAD,W,I,-2.347607,0.555,0.075,0.044
31,sdi_A_ncmd_i_PAD,W,I,-2.347607,0.475,0.075,0.044
33,sdi_A_data_2_i_PAD,W,I,-2.347607,0.395,0.075,0.044
35,sdi_A_data_1_i_PAD,W,I,-2.347607,0.3,0.075,0.044
37,sdi_A_data_0_i_PAD,W,I,-2.347607,0.22,0.075,0.044
39,misc_L_3_o_PAD,W,I,-2.347607,0.14,0.075,0.044
41,clk_0_p_i_PAD,W,I,-2.347607,0.06,0.075,0.044
43,clk_0_n_i_PAD,W,I,-2.347607,-0.06,0.075,0.044
45,misc_L_4_i_PAD,W,I,-2.347607,-0.14,0.075,0.044
47,sdi_B_data_0_i_PAD,W,I,-2.347607,-0.22,0.075,0.044
49,sdi_B_data_1_i_PAD,W,I,-2.347607,-0.3,0.075,0.044
51,sdi_B_data_2_i_PAD,W,I,-2.347607,-0.395,0.075,0.044
53,sdi_B_data_3_i_PAD,W,I,-2.347607,-0.475,0.075,0.044
55,sdi_B_ncmd_i_PAD,W,I,-2.347607,-0.555,0.075,0.044
57,misc_L_5_i_PAD,W,I,-2.347607,-0.635,0.075,0.044
59,sdi_B_token_o_PAD,W,I,-2.347607,-0.715,0.075,0.044
61,misc_L_6_i_PAD,W,I,-2.347607,-0.835,0.075,0.044
63,sdi_B_sclk_i_PAD,W,I,-2.347607,-0.915,0.075,0.044
65,misc_L_7_i_PAD,W,I,-2.347607,-0.995,0.075,0.044
67,sdi_B_data_4_i_PAD,W,I,-2.347607,-1.075,0.075,0.044
69,sdi_B_data_5_i_PAD,W,I,-2.347607,-1.17,0.075,0.044
71,sdi_B_data_6_i_PAD,W,I,-2.347607,-1.25,0.075,0.044
73,sdi_B_data_7_i_PAD,W,I,-2.347607,-1.33,0.075,0.044
75,sdi_B_tkn_ex_o_PAD,W,I,-2.347607,-1.41,0.075,0.044
77,sdi_B_sclk_ex_i_PAD,W,I,-2.347607,-1.53,0.075,0.044
90,sdo_C_tkn_ex_i_PAD,S,I,-1.53,-2.347607,0.044,0.075
92,sdo_C_sclk_ex_o_PAD,S,I,-1.45,-2.347607,0.044,0.075
94,sdo_C_data_8_o_PAD,S,I,-1.33,-2.347607,0.044,0.075
96,sdo_C_data_7_o_PAD,S,I,-1.25,-2.347607,0.044,0.075
98,sdo_C_data_6_o_PAD,S,I,-1.17,-2.347607,0.044,0.075
100,sdo_C_data_5_o_PAD,S,I,-1.09,-2.347607,0.044,0.075
102,sdo_C_data_4_o_PAD,S,I,-1.01,-2.347607,0.044,0.075
104,sdo_C_data_3_o_PAD,S,I,-0.915,-2.347607,0.044,0.075
106,sdo_C_data_2_o_PAD,S,I,-0.835,-2.347607,0.044,0.075
108,sdo_C_data_1_o_PAD,S,I,-0.755,-2.347607,0.044,0.075
110,sdo_C_data_0_o_PAD,S,I,-0.675,-2.347607,0.044,0.075
112,sdo_C_ncmd_o_PAD,S,I,-0.595,-2.347607,0.044,0.075
114,sdo_C_token_i_PAD,S,I,-0.475,-2.347607,0.044,0.075
116,JTAG_TMS_i_PAD,S,I,-0.395,-2.347607,0.044,0.075
118,sdo_C_sclk_o_PAD,S,I,-0.315,-2.347607,0.044,0.075
120,JTAG_TDI_i_PAD,S,I,-0.235,-2.347607,0.044,0.075
124,PLL_CLK_i_PAD,S,I,0.02,-2.347607,0.044,0.075
128,JTAG_TCK_i_PAD,S,I,0.315,-2.347607,0.044,0.075
130,sdo_D_sclk_o_PAD,S,I,0.395,-2.347607,0.044,0.075
132,JTAG_TRST_i_PAD,S,I,0.475,-2.347607,0.044,0.075
134,sdo_D_token_i_PAD,S,I,0.555,-2.347607,0.044,0.075
136,sdo_D_ncmd_o_PAD,S,I,0.675,-2.347607,0.044,0.075
138,sdo_D_data_0_o_PAD,S,I,0.755,-2.347607,0.044,0.075
140,sdo_D_data_1_o_PAD,S,I,0.835,-2.347607,0.044,0.075
142,sdo_D_data_2_o_PAD,S,I,0.915,-2.347607,0.044,0.075
144,sdo_D_data_3_o_PAD,S,I,0.995,-2.347607,0.044,0.075
146,sdo_D_data_4_o_PAD,S,I,1.09,-2.347607,0.044,0.075
148,sdo_D_data_5_o_PAD,S,I,1.17,-2.347607,0.044,0.075
150,sdo_D_data_6_o_PAD,S,I,1.25,-2.347607,0.044,0.075
152,sdo_D_data_7_o_PAD,S,I,1.33,-2.347607,0.044,0.075
154,sdo_D_sclk_ex_o_PAD,S,I,1.45,-2.347607,0.044,0.075
156,sdo_D_tkn_ex_i_PAD,S,I,1.53,-2.347607,0.044,0.075
169,sdi_D_sclk_ex_i_PAD,E,I,2.347661,-1.53,0.075,0.044
171,sdi_D_tkn_ex_o_PAD,E,I,2.347661,-1.41,0.075,0.044
173,sdi_D_data_7_i_PAD,E,I,2.347661,-1.33,0.075,0.044
175,sdi_D_data_6_i_PAD,E,I,2.347661,-1.25,0.075,0.044
177,sdi_D_data_5_i_PAD,E,I,2.347661,-1.17,0.075,0.044
179,sdi_D_data_4_i_PAD,E,I,2.347661,-1.075,0.075,0.044
181,misc_R_7_i_PAD,E,I,2.347661,-0.995,0.075,0.044
183,sdi_D_sclk_i_PAD,E,I,2.347661,-0.915,0.075,0.044
185,misc_R_6_i_PAD,E,I,2.347661,-0.835,0.075,0.044
187,sdi_D_token_o_PAD,E,I,2.347661,-0.755,0.075,0.044
189,misc_R_5_i_PAD,E,I,2.347661,-0.635,0.075,0.044
191,sdi_D_ncmd_i_PAD,E,I,2.347661,-0.555,0.075,0.044
193,sdi_D_data_3_i_PAD,E,I,2.347661,-0.475,0.075,0.044
195,sdi_D_data_2_i_PAD,E,I,2.347661,-0.395,0.075,0.044
197,sdi_D_data_1_i_PAD,E,I,2.347661,-0.3,0.075,0.044
199,sdi_D_data_0_i_PAD,E,I,2.347661,-0.22,0.075,0.044
201,misc_R_4_i_PAD,E,I,2.347661,-0.14,0.075,0.044
203,clk_1_n_i_PAD,E,I,2.347661,-0.06,0.075,0.044
205,clk_1_p_i_PAD,E,I,2.347661,0.06,0.075,0.044
207,misc_R_3_o_PAD,E,I,2.347661,0.14,0.075,0.044
209,sdi_C_data_0_i_PAD,E,I,2.347661,0.22,0.075,0.044
211,sdi_C_data_1_i_PAD,E,I,2.347661,0.3,0.075,0.044
213,sdi_C_data_2_i_PAD,E,I,2.347661,0.395,0.075,0.044
215,sdi_C_ncmd_i_PAD,E,I,2.347661,0.475,0.075,0.044
217,misc_R_2_i_PAD,E,I,2.347661,0.555,0.075,0.044
219,sdi_C_sclk_i_PAD,E,I,2.347661,0.635,0.075,0.044
221,misc_R_1_i_PAD,E,I,2.347661,0.715,0.075,0.044
223,sdi_C_token_o_PAD,E,I,2.347661,0.835,0.075,0.044
225,misc_R_0_i_PAD,E,I,2.347661,0.915,0.075,0.044
227,sdi_C_data_3_i_PAD,E,I,2.347661,0.995,0.075,0.044
229,sdi_C_data_4_i_PAD,E,I,2.347661,1.075,0.075,0.044
231,sdi_C_data_5_i_PAD,E,I,2.347661,1.17,0.075,0.044
233,sdi_C_data_6_i_PAD,E,I,2.347661,1.25,0.075,0.044
235,sdi_C_data_7_i_PAD,E,I,2.347661,1.33,0.075,0.044
237,sdi_C_tkn_ex_o_PAD,E,I,2.347661,1.41,0.075,0.044
239,sdi_C_sclk_ex_i_PAD,E,I,2.347661,1.53,0.075,0.044
252,sdo_B_tkn_ex_i_PAD,N,I,1.53,2.347661,0.044,0.075
254,sdo_B_sclk_ex_o_PAD,N,I,1.41,2.347661,0.044,0.075
256,sdo_B_data_7_o_PAD,N,I,1.33,2.347661,0.044,0.075
258,sdo_B_data_6_o_PAD,N,I,1.25,2.347661,0.044,0.075
260,sdo_B_data_5_o_PAD,N,I,1.17,2.347661,0.044,0.075
262,sdo_B_data_4_o_PAD,N,I,1.075,2.347661,0.044,0.075
264,sdo_B_data_3_o_PAD,N,I,0.995,2.347661,0.044,0.075
266,sdo_B_data_2_o_PAD,N,I,0.915,2.347661,0.044,0.075
268,sdo_B_data_1_o_PAD,N,I,0.835,2.347661,0.044,0.075
