Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
1,VSS_L_0_PAD,W,O,-2.439207,1.97,0.075,0.044
2,V33_L_0_PAD,W,O,-2.439207,1.89,0.075,0.044
3,VZZ_L_0_PAD,W,O,-2.439207,1.81,0.075,0.044
4,VDD_L_0_PAD,W,O,-2.439207,1.73,0.075,0.044
5,VSS_L_1_PAD,W,O,-2.439207,1.65,0.075,0.044
6,V33_L_1_PAD,W,O,-2.439207,1.57,0.075,0.044
8,VZZ_L_1_PAD,W,O,-2.439207,1.49,0.075,0.044
10,VDD_L_1_PAD,W,O,-2.439207,1.37,0.075,0.044
12,VSS_L_2_PAD,W,O,-2.439207,1.29,0.075,0.044
14,VDD_L_2_PAD,W,O,-2.439207,1.21,0.075,0.044
16,VSS_L_3_PAD,W,O,-2.439207,1.13,0.075,0.044
18,VDD_L_3_PAD,W,O,-2.439207,1.035,0.075,0.044
20,VSS_L_4_PAD,W,O,-2.439207,0.955,0.075,0.044
22,V33_L_2_PAD,W,O,-2.439207,0.875,0.075,0.044
24,VZZ_L_2_PAD,W,O,-2.439207,0.795,0.075,0.044
26,VDD_L_4_PAD,W,O,-2.439207,0.675,0.075,0.044
28,VSS_L_5_PAD,W,O,-2.439207,0.595,0.075,0.044
30,VDD_L_5_PAD,W,O,-2.439207,0.515,0.075,0.044
32,VSS_L_6_PAD,W,O,-2.439207,0.435,0.075,0.044
34,VDD_L_6_PAD,W,O,-2.439207,0.34,0.075,0.044
36,VSS_L_7_PAD,W,O,-2.439207,0.26,0.075,0.044
38,V33_L_3_PAD,W,O,-2.439207,0.18,0.075,0.044
40,VZZ_L_3_PAD,W,O,-2.439207,0.1,0.075,0.044
42,VDD_L_7_PAD,W,O,-2.439207,0.02,0.075,0.044
44,VSS_L_8_PAD,W,O,-2.439207,-0.1,0.075,0.044
46,VDD_L_8_PAD,W,O,-2.439207,-0.18,0.075,0.044
48,VSS_L_9_PAD,W,O,-2.439207,-0.26,0.075,0.044
50,VDD_L_9_PAD,W,O,-2.439207,-0.34,0.075,0.044
52,VSS_L_10_PAD,W,O,-2.439207,-0.435,0.075,0.044
54,VDD_L_10_PAD,W,O,-2.439207,-0.515,0.075,0.044
56,VSS_L_11_PAD,W,O,-2.439207,-0.595,0.075,0.044
58,V33_L_4_PAD,W,O,-2.439207,-0.675,0.075,0.044
