Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
2,V33_L_0_PAD,W,O,-2.439207,1.89,0.075,0.044
6,V33_L_1_PAD,W,O,-2.439207,1.57,0.075,0.044
22,V33_L_2_PAD,W,O,-2.439207,0.875,0.075,0.044
38,V33_L_3_PAD,W,O,-2.439207,0.18,0.075,0.044
58,V33_L_4_PAD,W,O,-2.439207,-0.675,0.075,0.044
74,V33_L_5_PAD,W,O,-2.439207,-1.37,0.075,0.044
82,V33_L_6_PAD,W,O,-2.439207,-1.89,0.075,0.044
84,V33_B_0_PAD,S,O,-1.97,-2.439207,0.044,0.075
88,V33_B_1_PAD,S,O,-1.65,-2.439207,0.044,0.075
95,V33_B_2_PAD,S,O,-1.29,-2.439207,0.044,0.075
103,V33_B_3_PAD,S,O,-0.955,-2.439207,0.044,0.075
111,V33_B_4_PAD,S,O,-0.635,-2.439207,0.044,0.075
125,PLL_V33_i_PAD,S,I,0.14,-2.347607,0.044,0.075
131,V33_B_6_PAD,S,O,0.435,-2.439207,0.044,0.075
139,V33_B_7_PAD,S,O,0.795,-2.439207,0.044,0.075
147,V33_B_8_PAD,S,O,1.13,-2.439207,0.044,0.075
155,V33_B_9_PAD,S,O,1.49,-2.439207,0.044,0.075
160,V33_B_10_PAD,S,O,1.81,-2.439207,0.044,0.075
164,V33_R_6_PAD,E,O,2.439207,-1.89,0.075,0.044
172,V33_R_5_PAD,E,O,2.439207,-1.37,0.075,0.044
188,V33_R_4_PAD,E,O,2.439207,-0.675,0.075,0.044
208,V33_R_3_PAD,E,O,2.439207,0.18,0.075,0.044
224,V33_R_2_PAD,E,O,2.439207,0.875,0.075,0.044
240,V33_R_1_PAD,E,O,2.439207,1.57,0.075,0.044
244,V33_R_0_PAD,E,O,2.439207,1.89,0.075,0.044
248,V33_T_10_PAD,N,O,1.81,2.439207,0.044,0.075
253,V33_T_9_PAD,N,O,1.49,2.439207,0.044,0.075
261,V33_T_8_PAD,N,O,1.13,2.439207,0.044,0.075
269,V33_T_7_PAD,N,O,0.795,2.439207,0.044,0.075
277,V33_T_6_PAD,N,O,0.435,2.439207,0.044,0.075
289,V33_T_5_PAD,N,O,-0.1,2.439207,0.044,0.075
301,V33_T_4_PAD,N,O,-0.595,2.439207,0.044,0.075
309,V33_T_3_PAD,N,O,-0.955,2.439207,0.044,0.075
317,V33_T_2_PAD,N,O,-1.29,2.439207,0.044,0.075
324,V33_T_1_PAD,N,O,-1.65,2.439207,0.044,0.075
328,V33_T_0_PAD,N,O,-1.97,2.439207,0.044,0.075
