Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
4,VDD_L_0_PAD,W,O,-2.439207,1.73,0.075,0.044
10,VDD_L_1_PAD,W,O,-2.439207,1.37,0.075,0.044
14,VDD_L_2_PAD,W,O,-2.439207,1.21,0.075,0.044
18,VDD_L_3_PAD,W,O,-2.439207,1.035,0.075,0.044
26,VDD_L_4_PAD,W,O,-2.439207,0.675,0.075,0.044
30,VDD_L_5_PAD,W,O,-2.439207,0.515,0.075,0.044
34,VDD_L_6_PAD,W,O,-2.439207,0.34,0.075,0.044
42,VDD_L_7_PAD,W,O,-2.439207,0.02,0.075,0.044
46,VDD_L_8_PAD,W,O,-2.439207,-0.18,0.075,0.044
50,VDD_L_9_PAD,W,O,-2.439207,-0.34,0.075,0.044
54,VDD_L_10_PAD,W,O,-2.439207,-0.515,0.075,0.044
62,VDD_L_11_PAD,W,O,-2.439207,-0.875,0.075,0.044
66,VDD_L_12_PAD,W,O,-2.439207,-1.035,0.075,0.044
70,VDD_L_13_PAD,W,O,-2.439207,-1.21,0.075,0.044
78,VDD_L_14_PAD,W,O,-2.439207,-1.57,0.075,0.044
80,VDD_L_15_PAD,W,O,-2.439207,-1.73,0.075,0.044
86,VDD_B_0_PAD,S,O,-1.81,-2.439207,0.044,0.075
91,VDD_B_1_PAD,S,O,-1.49,-2.439207,0.044,0.075
99,VDD_B_2_PAD,S,O,-1.13,-2.439207,0.044,0.075
107,VDD_B_3_PAD,S,O,-0.795,-2.439207,0.044,0.075
115,VDD_B_4_PAD,S,O,-0.435,-2.439207,0.044,0.075
119,VDD_B_5_PAD,S,O,-0.275,-2.439207,0.044,0.075
122,PLL_VDD_i_PAD,S,I,-0.14,-2.347607,0.044,0.075
127,VDD_B_7_PAD,S,O,0.275,-2.439207,0.044,0.075
135,VDD_B_8_PAD,S,O,0.595,-2.439207,0.044,0.075
143,VDD_B_9_PAD,S,O,0.955,-2.439207,0.044,0.075
151,VDD_B_10_PAD,S,O,1.29,-2.439207,0.044,0.075
158,VDD_B_11_PAD,S,O,1.65,-2.439207,0.044,0.075
162,VDD_B_12_PAD,S,O,1.97,-2.439207,0.044,0.075
166,VDD_R_15_PAD,E,O,2.439207,-1.73,0.075,0.044
168,VDD_R_14_PAD,E,O,2.439207,-1.57,0.075,0.044
176,VDD_R_13_PAD,E,O,2.439207,-1.21,0.075,0.044
180,VDD_R_12_PAD,E,O,2.439207,-1.035,0.075,0.044
184,VDD_R_11_PAD,E,O,2.439207,-0.875,0.075,0.044
192,VDD_R_10_PAD,E,O,2.439207,-0.515,0.075,0.044
196,VDD_R_9_PAD,E,O,2.439207,-0.34,0.075,0.044
200,VDD_R_8_PAD,E,O,2.439207,-0.18,0.075,0.044
204,VDD_R_7_PAD,E,O,2.439207,-0.02,0.075,0.044
212,VDD_R_6_PAD,E,O,2.439207,0.34,0.075,0.044
216,VDD_R_5_PAD,E,O,2.439207,0.515,0.075,0.044
220,VDD_R_4_PAD,E,O,2.439207,0.675,0.075,0.044
228,VDD_R_3_PAD,E,O,2.439207,1.035,0.075,0.044
232,VDD_R_2_PAD,E,O,2.439207,1.21,0.075,0.044
236,VDD_R_1_PAD,E,O,2.439207,1.37,0.075,0.044
242,VDD_R_0_PAD,E,O,2.439207,1.73,0.075,0.044
246,VDD_T_12_PAD,N,O,1.97,2.439207,0.044,0.075
250,VDD_T_11_PAD,N,O,1.65,2.439207,0.044,0.075
257,VDD_T_10_PAD,N,O,1.29,2.439207,0.044,0.075
265,VDD_T_9_PAD,N,O,0.955,2.439207,0.044,0.075
273,VDD_T_8_PAD,N,O,0.595,2.439207,0.044,0.075
281,VDD_T_7_PAD,N,O,0.26,2.439207,0.044,0.075
285,VDD_T_6_PAD,N,O,0.1,2.439207,0.044,0.075
293,VDD_T_5_PAD,N,O,-0.26,2.439207,0.044,0.075
297,VDD_T_4_PAD,N,O,-0.435,2.439207,0.044,0.075
305,VDD_T_3_PAD,N,O,-0.795,2.439207,0.044,0.075
313,VDD_T_2_PAD,N,O,-1.13,2.439207,0.044,0.075
321,VDD_T_1_PAD,N,O,-1.49,2.439207,0.044,0.075
326,VDD_T_0_PAD,N,O,-1.81,2.439207,0.044,0.075
