Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Width,Height
1,1,CI_0_I,ci_0_i_PAD,E,O,5.67351203,39.20694816,1.439207,1.242,5.835429,4.828359,0.075,0.044
2,2,VDD,vdd_r_0_PAD,E,I,4.021304005,34.36460681,1.347661,1.207,4.667096,3.476854,0.075,0.044
3,3,CI_1_I,ci_1_i_PAD,E,O,5.597496945,36.89518253,1.439207,1.172,5.915722,4.532474,0.075,0.044
4,4,VSS,vss_r_0_PAD,E,I,1.203040469,28.98662754,1.347661,1.137,2.4,1.72,0.075,0.044
5,5,CI_2_I,ci_2_i_PAD,E,O,5.529069176,34.62876698,1.439207,1.102,5.988808,4.243932,0.075,0.044
6,6,V18,v18_r_0_PAD,E,I,2.808093761,29.1542982,1.347661,1.067,3.8,2.435,0.075,0.044
7,7,CI_3_I,ci_3_i_PAD,E,O,5.46482832,32.3266119,1.439207,1.032,6.057061,3.954289,0.075,0.044
8,8,VSS,vzz_r_0_PAD,E,I,1.157888756,24.65406154,1.347661,0.997,2.4,1.48,0.075,0.044
9,9,CI_4_I,ci_4_i_PAD,E,O,5.42595661,30.41977108,1.439207,0.927,6.118221,3.674332,0.075,0.044
10,10,VDD,vdd_r_1_PAD,E,I,3.959535529,28.63612638,1.347661,0.892,4.82287,2.789589,0.075,0.044
11,11,CI_CLK_I,ci_clk_i_PAD,E,O,5.366758877,27.98684929,1.439207,0.857,6.178352,3.375453,0.075,0.044
12,12,VSS,vss_r_1_PAD,E,I,1.125087273,20.71687475,1.347661,0.822,2.4,1.22,0.075,0.044
13,13,CI_TKN_O,ci_tkn_o_PAD,E,O,5.318750675,25.76168549,1.439207,0.787,6.229325,3.098683,0.075,0.044
14,14,V18,v18_r_1_PAD,E,I,2.688972958,24.21700876,1.347661,0.752,3.8,1.855,0.075,0.044
15,15,CI_V_I,ci_v_i_PAD,E,O,5.273161255,23.45002008,1.439207,0.717,6.276845,2.815449,0.075,0.044
16,16,VSS,vzz_r_1_PAD,E,I,1.096485919,16.31376925,1.347661,0.682,2.4,0.99,0.075,0.044
17,17,CI_5_I,ci_5_i_PAD,E,O,5.233371838,21.18786024,1.439207,0.647,6.318805,2.538482,0.075,0.044
18,18,VDD,vdd_r_2_PAD,E,I,3.846568376,19.56748861,1.347661,0.612,4.972081,1.900281,0.075,0.044
19,19,CI_6_I,ci_6_i_PAD,E,O,5.19581923,18.81109818,1.439207,0.577,6.357501,2.252387,0.075,0.044
20,20,VSS,vss_r_2_PAD,E,I,1.096485919,16.31376925,1.347661,0.542,2.4,0.85,0.075,0.044
21,21,CI_7_I,ci_7_i_PAD,E,O,5.162717822,16.41176256,1.439207,0.507,6.391575,1.965666,0.075,0.044
22,22,V18,v18_r_2_PAD,E,I,2.537789505,14.91053903,1.347661,0.472,3.8,1.125,0.075,0.044
23,23,CI_8_I,ci_8_i_PAD,E,O,5.135967587,14.12576893,1.439207,0.437,6.419875,1.690439,0.075,0.044
24,24,VSS,vzz_r_2_PAD,E,I,1.072698173,11.18068003,1.347661,0.402,2.4,0.61,0.075,0.044
25,25,BSG_TAG_EN_I,bsg_tag_en_i_PAD,E,O,5.110860067,11.61615854,1.439207,0.367,6.445389,1.396093,0.075,0.044
26,26,VDD,vdd_r_3_PAD,E,I,3.781207884,10.48429051,1.347661,0.297,5.065741,0.985051,0.075,0.044
27,27,BSG_TAG_DATA_I,bsg_tag_data_i_PAD,E,O,5.099017072,9.755119099,1.439207,0.262,6.464497,1.125965,0.075,0.044
28,28,VSS,vss_r_3_PAD,E,I,1.064887962,8.804749013,1.347661,0.227,2.4,0.39,0.075,0.044
29,29,BSG_TAG_CLK_I,bsg_tag_clk_i_PAD,E,O,5.082903351,7.378146833,1.439207,0.192,6.480025,0.844733,0.075,0.044
30,30,V18,v18_r_3_PAD,E,I,2.46640134,6.121264121,1.347661,0.157,3.8,0.42,0.075,0.044
31,31,DDR_DM_3_O,ddr_dm_3_o_PAD,E,O,5.071109953,4.983879724,1.439207,0.122,6.491144,0.562555,0.075,0.044
32,32,VSS,vzz_r_3_PAD,E,I,1.05486794,3.96821005,1.347661,0.087,2.4,0.16,0.075,0.044
33,33,DDR_DQS_P_3_IO,ddr_dqs_p_3_io_PAD,E,O,5.063210313,2.368998262,1.439207,0.052,6.49809,0.261288,0.075,0.044
34,34,VDD,vdd_r_4_PAD,E,I,3.752903321,1.266154079,1.347661,0.017,5.099648,0.099927,0.075,0.044
35,35,DDR_DQS_N_3_IO,ddr_dqs_n_3_io_PAD,E,O,5.060782436,0.023786527,1.439207,-0.018,6.499989,-0.020101,0.075,0.044
36,36,VSS,vss_r_4_PAD,E,I,1.052685314,1.4697229,1.347661,-0.053,2.4,-0.08,0.075,0.044
37,37,DDR_DQ_24_IO,ddr_dq_24_io_PAD,E,O,5.062748548,2.414726339,1.439207,-0.088,6.49746,-0.301306,0.075,0.044
38,38,V18,v18_r_4_PAD,E,I,2.456594111,3.372788164,1.347661,-0.123,3.8,-0.267527,0.075,0.044
39,39,DDR_DQ_25_IO,ddr_dq_25_io_PAD,E,O,5.068586021,4.688165846,1.439207,-0.158,6.490835,-0.572269,0.075,0.044
40,40,VSS,vzz_r_4_PAD,E,I,1.058621475,6.245218976,1.347661,-0.193,2.4,-0.308161,0.075,0.044
41,41,DDR_DQ_26_IO,ddr_dq_26_io_PAD,E,O,5.079124399,7.08294546,1.439207,-0.228,6.479571,-0.854287,0.075,0.044
42,42,VDD,vdd_r_5_PAD,E,I,3.767535082,8.073390473,1.347661,-0.263,5.077856,-0.792118,0.075,0.044
43,43,DDR_DQ_27_IO,ddr_dq_27_io_PAD,E,O,5.087871079,9.015388065,1.439207,-0.333,6.464224,-1.130268,0.075,0.044
44,44,VSS,vss_r_5_PAD,E,I,1.064735505,8.751624104,1.347661,-0.367999,2.4,-0.53,0.075,0.044
45,45,DDR_DQ_28_IO,ddr_dq_28_io_PAD,E,O,5.10542412,11.37954757,1.439207,-0.403,6.444267,-1.410338,0.075,0.044
46,46,V18,v18_r_5_PAD,E,I,2.506243318,11.90472266,1.347661,-0.438,3.8,-0.955,0.075,0.044
47,47,DDR_DQ_29_IO,ddr_dq_29_io_PAD,E,O,5.127304356,13.73590864,1.439207,-0.473,6.419873,-1.690463,0.075,0.044
48,48,VSS,vzz_r_5_PAD,E,I,1.082091203,13.46683051,1.347661,-0.508,2.4,-0.76,0.075,0.044
49,49,DDR_DQ_30_IO,ddr_dq_30_io_PAD,E,O,5.152576025,16.02217201,1.439207,-0.543,6.391631,-1.965159,0.075,0.044
50,50,VDD,vdd_r_6_PAD,E,I,3.813472132,16.65132675,1.347661,-0.578,5.00122,-1.670738,0.075,0.044
51,51,DDR_DQ_31_IO,ddr_dq_31_io_PAD,E,O,5.182964109,18.35842961,1.439207,-0.613,6.358383,-2.245429,0.075,0.044
52,52,VSS,vss_r_6_PAD,E,I,1.106517678,18.00366054,1.347661,-0.648,2.4,-0.99,0.075,0.044
53,53,DDR_DQ_16_IO,ddr_dq_16_io_PAD,E,O,5.217208791,20.65934923,1.439207,-0.683,6.320921,-2.523689,0.075,0.044
54,54,V18,v18_r_6_PAD,E,I,2.630640715,21.21625284,1.347661,-0.718,3.8,-1.67,0.075,0.044
55,55,DDR_DQ_17_IO,ddr_dq_17_io_PAD,E,O,5.257218795,23.01501318,1.439207,-0.753,6.277964,-2.808427,0.075,0.044
56,56,VSS,vzz_r_6_PAD,E,I,1.103467884,17.50984401,1.347661,-0.788,2.4,-1.12,0.075,0.044
57,57,DDR_DQ_18_IO,ddr_dq_18_io_PAD,E,O,5.301891676,25.35995889,1.439207,-0.823,6.230181,-3.09382,0.075,0.044
58,58,VDD,vdd_r_7_PAD,E,I,3.851095445,22.41252994,1.347661,-0.858,4.907855,-2.326317,0.075,0.044
59,59,DDR_DQ_19_IO,ddr_dq_19_io_PAD,E,O,5.350778318,27.67550349,1.439207,-0.893,6.177815,-3.378241,0.075,0.044
60,60,VSS,vss_r_7_PAD,E,I,1.121243226,20.19111052,1.347661,-0.963,2.4,-1.35,0.075,0.044
61,61,DDR_DQ_20_IO,ddr_dq_20_io_PAD,E,O,5.38583544,29.6197784,1.439207,-0.998,6.121245,-3.659906,0.075,0.044
62,62,V18,v18_r_7_PAD,E,I,2.73549092,26.29959769,1.347661,-1.033,3.8,-2.245,0.075,0.044
63,63,DDR_DQ_21_IO,ddr_dq_21_io_PAD,E,O,5.442589414,31.91363009,1.439207,-1.068,6.059127,-3.945172,0.075,0.044
64,64,VSS,vzz_r_7_PAD,E,I,1.159563009,24.83369111,1.347661,-1.103,2.4,-1.59,0.075,0.044
65,65,DDR_DQ_22_IO,ddr_dq_22_io_PAD,E,O,5.502882262,34.15922653,1.439207,-1.138,5.992734,-4.227839,0.075,0.044
66,66,VDD,vdd_r_8_PAD,E,I,3.959064849,31.44835285,1.347661,-1.173,4.725182,-3.238562,0.075,0.044
67,67,DDR_DQ_23_IO,ddr_dq_23_io_PAD,E,O,5.575483465,36.58720154,1.439207,-1.208,5.916045,-4.531242,0.075,0.044
68,68,VSS,vss_r_8_PAD,E,I,1.209886925,29.56657511,1.347661,-1.243,2.4,-1.84,0.075,0.044
69,69,DDR_DM_2_O,ddr_dm_2_o_PAD,S,O,5.697382981,50.24535494,1.242,-1.439207,4.885484,-5.819298,0.044,0.075
70,70,V18,v18_b_0_PAD,S,I,2.963072801,55.85828724,1.207,-1.347607,2.87,-3.8,0.044,0.075
71,71,DDR_DQS_P_2_IO,ddr_dqs_p_2_io_PAD,S,O,5.611067808,52.76678514,1.172,-1.439207,4.567037,-5.906623,0.044,0.075
72,72,VSS,vzz_b_0_PAD,S,I,1.198273769,61.4328833,1.137,-1.347607,1.71,-2.4,0.044,0.075
73,73,DDR_DQS_N_2_IO,ddr_dqs_n_2_io_PAD,S,O,5.522381117,55.55348884,1.102,-1.439207,4.225661,-5.993264,0.044,0.075
74,74,VDD,vdd_b_0_PAD,S,I,3.931772758,60.91954774,1.067,-1.347607,2.977988,-4.783733,0.044,0.075
75,75,DDR_CK_P_O,ddr_ck_p_o_PAD,S,O,5.455669263,57.94552283,1.032,-1.439207,3.927462,-6.063126,0.044,0.075
76,76,VSS,vss_b_0_PAD,S,I,1.153802421,65.79837699,0.997,-1.347607,1.47,-2.4,0.044,0.075
77,77,DDR_CK_N_O,ddr_ck_n_o_PAD,S,O,5.410231206,60.08054885,0.927,-1.439207,3.625526,-6.128403,0.044,0.075
78,78,V18,v18_b_1_PAD,S,I,2.784125613,61.74489312,0.892,-1.347607,2.21,-3.8,0.044,0.075
79,79,DDR_CKE_O,ddr_cke_o_PAD,S,O,5.355275653,62.41551215,0.857,-1.439207,3.336793,-6.185743,0.044,0.075
80,80,VSS,vzz_b_1_PAD,S,I,1.155861162,65.57231133,0.822,-1.347607,1.3,-2.4,0.044,0.075
81,81,DDR_CS_N_O,ddr_cs_n_o_PAD,S,O,5.305465296,64.75155993,0.787,-1.439207,3.050015,-6.237824,0.044,0.075
82,82,VDD,vdd_b_1_PAD,S,I,3.888655909,66.38394637,0.752,-1.347607,2.309818,-4.91059,0.044,0.075
83,83,DDR_RAS_N_O,ddr_ras_n_o_PAD,S,O,5.259617785,67.13296858,0.717,-1.439207,2.760855,-6.285467,0.044,0.075
84,84,VSS,vss_b_1_PAD,S,I,1.125137781,69.28409801,0.682,-1.347607,1.08,-2.4,0.044,0.075
85,85,DDR_CAS_N_O,ddr_cas_n_o_PAD,S,O,5.218645401,69.52430976,0.647,-1.439207,2.472534,-6.328142,0.044,0.075
86,86,V18,v18_b_2_PAD,S,I,2.594867131,70.92539707,0.612,-1.347607,1.46,-3.8,0.044,0.075
87,87,DDR_WE_N_O,ddr_we_n_o_PAD,S,O,5.18406315,71.83584102,0.577,-1.439207,2.193083,-6.364934,0.044,0.075
88,88,VSS,vzz_b_2_PAD,S,I,1.096537745,73.68702332,0.542,-1.347607,0.85,-2.4,0.044,0.075
89,89,DDR_RESET_N_O,ddr_reset_n_o_PAD,S,O,5.152887042,74.2154998,0.507,-1.439207,1.908688,-6.397787,0.044,0.075
90,90,VDD,vdd_b_2_PAD,S,I,3.80075187,75.60428863,0.472,-1.347607,1.416933,-5.029022,0.044,0.075
91,91,DDR_ODT_O,ddr_odt_o_PAD,S,O,5.125818875,76.63922351,0.437,-1.439207,1.621484,-6.426292,0.044,0.075
92,92,VSS,vss_b_2_PAD,S,I,1.070857146,79.34477868,0.402,-1.347607,0.6,-2.4,0.044,0.075
93,93,DDR_ADDR_0_O,ddr_addr_0_o_PAD,S,O,5.104086038,79.01061808,0.367,-1.439207,1.339977,-6.449697,0.044,0.075
94,94,V18,v18_b_3_PAD,S,I,2.490325366,79.98692765,0.297,-1.347607,0.73,-3.8,0.044,0.075
95,95,DDR_ADDR_1_O,ddr_addr_1_o_PAD,S,O,5.091495984,81.07046711,0.262,-1.439207,1.0523,-6.468994,0.044,0.075
96,96,VSS,vzz_b_3_PAD,S,I,1.063456641,81.72812428,0.227,-1.347607,0.38,-2.4,0.044,0.075
97,97,DDR_ADDR_2_O,ddr_addr_2_o_PAD,S,O,5.077276927,83.45178476,0.192,-1.439207,0.771009,-6.483361,0.044,0.075
98,98,VDD,vdd_b_3_PAD,S,I,3.75923721,84.76970235,0.157,-1.347607,0.499689,-5.091192,0.044,0.075
99,99,DDR_ADDR_3_O,ddr_addr_3_o_PAD,S,O,5.067496319,85.82517101,0.122,-1.439207,0.490914,-6.493257,0.044,0.075
100,100,VSS,vss_b_3_PAD,S,I,1.053658027,87.19210313,0.087,-1.347607,0.138616,-2.4,0.044,0.075
101,101,DDR_ADDR_4_O,ddr_addr_4_o_PAD,S,O,5.062032007,88.20751104,0.052,-1.439207,0.210339,-6.498762,0.044,0.075
102,102,V18,v18_b_4_PAD,S,I,2.452500851,89.46266186,0.017,-1.347607,0.04,-3.8,0.044,0.075
