Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Width,Height
14,14,V18,v18_r_1_PAD,E,I,2.688972958,24.21700876,1.347661,0.752,-3.8,1.95,0.075,0.044
38,38,V18,v18_r_4_PAD,E,I,2.456594111,3.372788164,1.347661,-0.123,3.8,-0.267527,0.075,0.044
46,46,V18,v18_r_5_PAD,E,I,2.506243318,11.90472266,1.347661,-0.438,3.8,-0.955,0.075,0.044
54,54,V18,v18_r_6_PAD,E,I,2.630640715,21.21625284,1.347661,-0.718,3.8,-1.67,0.075,0.044
62,62,V18,v18_r_7_PAD,E,I,2.73549092,26.29959769,1.347661,-1.033,3.8,-2.245,0.075,0.044
70,70,V18,v18_b_0_PAD,S,I,2.963072801,55.85828724,1.207,-1.347607,2.87,-3.8,0.044,0.075
78,78,V18,v18_b_1_PAD,S,I,2.784125613,61.74489312,0.892,-1.347607,2.21,-3.8,0.044,0.075
86,86,V18,v18_b_2_PAD,S,I,2.594867131,70.92539707,0.612,-1.347607,1.46,-3.8,0.044,0.075
94,94,V18,v18_b_3_PAD,S,I,2.490325366,79.98692765,0.297,-1.347607,0.73,-3.8,0.044,0.075
102,102,V18,v18_b_4_PAD,S,I,2.452500851,89.46266186,0.017,-1.347607,0.04,-3.8,0.044,0.075
110,110,V18,v18_b_5_PAD,S,I,2.481201408,81.26048462,-0.263,-1.347607,-0.64,-3.8,0.044,0.075
118,118,V18,v18_b_6_PAD,S,I,2.574054278,72.31396243,-0.578,-1.347607,-1.36,-3.8,0.044,0.075
126,126,V18,v18_b_7_PAD,S,I,2.771911872,62.21828711,-0.858,-1.347607,-2.15,-3.8,0.044,0.075
134,134,V18,v18_b_8_PAD,S,I,2.921095758,57.09216389,-1.173,-1.347607,-2.76,-3.8,0.044,0.075
142,142,V18,v18_l_0_PAD,W,I,2.689843197,24.2553895,-1.347607,-1.07,-3.8,-2.175,0.075,0.044
150,150,V18,v18_l_1_PAD,W,I,2.553938219,16.21107272,-1.347607,-0.737,-3.8,-1.45,0.075,0.044
158,158,V18,v18_l_2_PAD,W,I,2.498351542,11.0068232,-1.347607,-0.443,-3.8,-0.92,0.075,0.044
166,166,V18,v18_l_3_PAD,W,I,2.455836197,3.034377588,-1.347607,-0.11,-3.8,-0.24,0.075,0.044
206,206,V18,v18_t_0_PAD,N,O,2.775778015,58.26585046,-1.12,1.439207,-2.58,3.8,0.044,0.075
214,214,V18,v18_t_1_PAD,N,O,2.62818732,63.93016017,-0.805,1.439207,-1.96,3.8,0.044,0.075
222,222,V18,v18_t_2_PAD,N,O,2.475554198,72.48576648,-0.525,1.439207,-1.27,3.8,0.044,0.075
230,230,V18,v18_t_3_PAD,N,O,2.388083665,81.32969503,-0.21,1.439207,-0.57,3.8,0.044,0.075
242,242,V18,v18_t_4_PAD,N,O,2.408104771,78.62377523,0.245,1.439207,0.72,3.8,0.044,0.075
250,250,V18,v18_t_5_PAD,N,O,2.50244752,70.62950981,0.56,1.439207,1.39,3.8,0.044,0.075
258,258,V18,v18_t_6_PAD,N,O,2.680716992,61.72175559,0.84,1.439207,2.11,3.8,0.044,0.075
266,266,V18,v18_t_7_PAD,N,O,2.950634438,53.1393415,1.155,1.439207,2.925,3.8,0.044,0.075
