Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Width,Height
16,16,VSS,vzz_r_1_PAD,E,I,1.096485919,16.31376925,1.347661,0.682,-2.4,1.54,0.075,0.044
20,20,VSS,vss_r_2_PAD,E,I,1.096485919,16.31376925,1.347661,0.542,-2.4,1.4,0.075,0.044
32,32,VSS,vzz_r_3_PAD,E,I,1.05486794,3.96821005,1.347661,0.087,2.4,0.16,0.075,0.044
36,36,VSS,vss_r_4_PAD,E,I,1.052685314,1.4697229,1.347661,-0.053,2.4,-0.08,0.075,0.044
40,40,VSS,vzz_r_4_PAD,E,I,1.058621475,6.245218976,1.347661,-0.193,2.4,-0.308161,0.075,0.044
44,44,VSS,vss_r_5_PAD,E,I,1.064735505,8.751624104,1.347661,-0.367999,2.4,-0.53,0.075,0.044
48,48,VSS,vzz_r_5_PAD,E,I,1.082091203,13.46683051,1.347661,-0.508,2.4,-0.76,0.075,0.044
52,52,VSS,vss_r_6_PAD,E,I,1.106517678,18.00366054,1.347661,-0.648,2.4,-0.99,0.075,0.044
56,56,VSS,vzz_r_6_PAD,E,I,1.103467884,17.50984401,1.347661,-0.788,2.4,-1.12,0.075,0.044
60,60,VSS,vss_r_7_PAD,E,I,1.121243226,20.19111052,1.347661,-0.963,2.4,-1.35,0.075,0.044
64,64,VSS,vzz_r_7_PAD,E,I,1.159563009,24.83369111,1.347661,-1.103,2.4,-1.59,0.075,0.044
68,68,VSS,vss_r_8_PAD,E,I,1.209886925,29.56657511,1.347661,-1.243,2.4,-1.84,0.075,0.044
72,72,VSS,vzz_b_0_PAD,S,I,1.198273769,61.4328833,1.137,-1.347607,1.71,-2.4,0.044,0.075
76,76,VSS,vss_b_0_PAD,S,I,1.153802421,65.79837699,0.997,-1.347607,1.47,-2.4,0.044,0.075
80,80,VSS,vzz_b_1_PAD,S,I,1.155861162,65.57231133,0.822,-1.347607,1.3,-2.4,0.044,0.075
84,84,VSS,vss_b_1_PAD,S,I,1.125137781,69.28409801,0.682,-1.347607,1.08,-2.4,0.044,0.075
88,88,VSS,vzz_b_2_PAD,S,I,1.096537745,73.68702332,0.542,-1.347607,0.85,-2.4,0.044,0.075
92,92,VSS,vss_b_2_PAD,S,I,1.070857146,79.34477868,0.402,-1.347607,0.6,-2.4,0.044,0.075
96,96,VSS,vzz_b_3_PAD,S,I,1.063456641,81.72812428,0.227,-1.347607,0.38,-2.4,0.044,0.075
100,100,VSS,vss_b_3_PAD,S,I,1.053658027,87.19210313,0.087,-1.347607,0.138616,-2.4,0.044,0.075
104,104,VSS,vzz_b_4_PAD,S,I,1.052798906,88.40892169,-0.053,-1.347607,-0.082232,-2.4,0.044,0.075
108,108,VSS,vss_b_4_PAD,S,I,1.05820201,83.99375157,-0.193,-1.347607,-0.303727,-2.4,0.044,0.075
112,112,VSS,vzz_b_5_PAD,S,I,1.068014525,80.18836117,-0.368,-1.347607,-0.55,-2.4,0.044,0.075
116,116,VSS,vss_b_5_PAD,S,I,1.086975173,75.5085395,-0.508,-1.347607,-0.78,-2.4,0.044,0.075
120,120,VSS,vzz_b_6_PAD,S,I,1.112912857,71.01791199,-0.648,-1.347607,-1.01,-2.4,0.044,0.075
124,124,VSS,vss_b_6_PAD,S,I,1.116205638,70.53251128,-0.788,-1.347607,-1.16,-2.4,0.044,0.075
128,128,VSS,vzz_b_7_PAD,S,I,1.143389709,66.9868227,-0.963,-1.347607,-1.41,-2.4,0.044,0.075
132,132,VSS,vss_b_7_PAD,S,I,1.186060718,62.53604148,-1.103,-1.347607,-1.65,-2.4,0.044,0.075
136,136,VSS,vzz_b_8_PAD,S,I,1.245961487,57.63373667,-1.243,-1.347607,-1.91,-2.4,0.044,0.075
140,140,VSS,vss_l_0_PAD,W,I,1.139134332,22.50392879,-1.347607,-1.144,-2.4,-1.58,0.075,0.044
144,144,VSS,vzz_l_0_PAD,W,I,1.107188794,18.10122706,-1.347607,-0.996,-2.4,-1.34,0.075,0.044
148,148,VSS,vss_l_1_PAD,W,I,1.092687982,15.60841371,-1.347607,-0.811,-2.4,-1.105,0.075,0.044
152,152,VSS,vzz_l_1_PAD,W,I,1.077661833,12.4320071,-1.347607,-0.663,-2.4,-0.895,0.075,0.044
156,156,VSS,vss_l_2_PAD,W,I,1.071792903,10.91790295,-1.347607,-0.517,-2.4,-0.72,0.075,0.044
160,160,VSS,vzz_l_2_PAD,W,I,1.061144206,7.363483292,-1.347607,-0.369,-2.4,-0.505,0.075,0.044
164,164,VSS,vss_l_3_PAD,W,I,1.056452859,5.02466598,-1.347607,-0.184,-2.4,-0.276529,0.075,0.044
