Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
1,1,VDD,VDD_L_2,Left,Outside,3.15815377221412,24.5064792207394,-1.4384205,1.15425,-4.31207,2.46424,2,
2,2,VDD,VDD_L_3,Left,Outside,3.12598630379921,20.5817483096553,-1.4384205,0.99225,-4.36488,2.09117,4,
3,3,VDD,VDD_L_4,Left,Outside,3.10767998871349,15.7400380641362,-1.4384205,0.66825,-4.42957,1.51128,8,
4,4,VDD,VDD_L_5,Left,Outside,3.08796790587277,11.9363733981548,-1.4384205,0.50625,-4.45962,1.14492,10,
5,5,VDD,VDD_L_6,Left,Outside,3.07115531066409,7.5855093328165,-1.4384205,0.34425,-4.4827,0.74966,12,
6,6,VDD,VDD_L_7,Left,Outside,3.06164646837617,0.378962106379291,-1.4384205,0.02025,-4.5,0,16,
7,7,VDD,VDD_L_8,Left,Outside,3.06634844604136,4.43678355635241,-1.4384205,-0.14175,-4.49558,-0.37896,18,
8,8,VDD,VDD_L_9,Left,Outside,3.0759134666356,8.17338505349073,-1.4384205,-0.30375,-4.48309,-0.74105,20,
9,9,VDD,VDD_L_10,Left,Outside,3.09431894819042,12.3884431863048,-1.4384205,-0.46575,-4.46069,-1.1296,22,
10,10,VDD,VDD_L_11,Left,Outside,3.10497289072711,16.6719395028668,-1.4384205,-0.78975,-4.41287,-1.68054,26,
11,11,VDD,VDD_L_12,Left,Outside,3.13436594850542,20.8173032045324,-1.4384205,-0.95175,-4.36817,-2.06567,28,
12,12,VDD,VDD_L_13,Left,Outside,3.17494381418479,25.1578183522488,-1.4384205,-1.11375,-4.31219,-2.46346,30,
13,13,VDD,VDD_L_14,Left,Outside,3.28263025279124,32.2091631841356,-1.4384205,-1.27575,-4.21588,-3.02543,32,
14,14,VDD,VDD_B_2,Bottom,Outside,3.17840546363585,25.1099981213747,-1.08675,-1.4384205,-2.43553,-4.31645,35,
15,15,VDD,VDD_B_3,Bottom,Outside,3.10674754402096,16.5707192610904,-0.76275,-1.4384205,-1.64879,-4.41614,39,
16,16,VDD,VDD_B_4,Bottom,Outside,3.09327869073258,12.0199067079803,-0.43875,-1.4384205,-1.08293,-4.46388,43,
17,17,VDD,VDD_B_5,Bottom,Outside,3.08006532404919,8.70445614747406,-0.27675,-1.4384205,-0.74288,-4.48301,45,
18,18,VDD,VDD_B_6,Bottom,Outside,,,,,1.01E-02,-4.5,49,No bond pad - leave disconnected
19,19,VDD,VDD_B_7,Bottom,Outside,3.08422924994888,9.09424796532692,0.23625,-1.4384205,0.72374,-4.48388,51,
20,20,VDD,VDD_B_8,Bottom,Outside,3.09702360061564,13.572960486884,0.56025,-1.4384205,1.28707,-4.44895,55,
21,21,VDD,VDD_B_9,Bottom,Outside,3.15789141291943,21.885238513735,0.88425,-1.4384205,2.06135,-4.36873,59,
22,22,VDD,VDD_B_10,Bottom,Outside,3.25151685555069,30.1696699791603,1.20825,-1.4384205,2.84234,-4.24949,63,
23,23,VDD,VDD_R_14,Right,Outside,3.32778329235698,34.1244330079466,1.4384205,-1.27575,4.19323,-3.14261,65,
24,24,VDD,VDD_R_13,Right,Outside,3.20087452606163,26.6784881002153,1.4384205,-1.11375,4.29853,-2.55089,67,
25,25,VDD,VDD_R_12,Right,Outside,3.15400820977217,22.243898977159,1.4384205,-0.95175,4.35771,-2.1457,69,
26,26,VDD,VDD_R_11,Right,Outside,3.12025970182135,18.080274182535,1.4384205,-0.78975,4.40461,-1.75812,71,
27,27,VDD,VDD_R_10,Right,Outside,3.10145034325076,13.2449965693,1.4384205,-0.46575,4.45737,-1.17634,75,
28,28,VDD,VDD_R_9,Right,Outside,3.07969741381524,8.8611878698161,1.4384205,-0.30375,4.48136,-0.77815,77,
29,29,VDD,VDD_R_8,Right,Outside,3.06692536048569,4.63178533083351,1.4384205,-0.14175,4.49533,-0.38941,79,
30,30,VDD,VDD_R_7,Right,Outside,3.06164646837617,0.378962106379291,1.4384205,0.02025,4.5,0,81,
31,31,VDD,VDD_R_6,Right,Outside,3.07548626970765,8.45769852247857,1.4384205,0.34425,4.48046,0.79659,85,
32,32,VDD,VDD_R_5,Right,Outside,3.08806384296864,11.9492722110347,1.4384205,0.50625,4.45957,1.14562,87,
33,33,VDD,VDD_R_4,Right,Outside,3.08818831098919,13.5944047705102,1.4384205,0.66825,4.44009,1.39412,89,
34,34,VDD,VDD_R_3,Right,Outside,3.13276097265978,21.1020789591535,1.4384205,0.99225,4.3611,2.12014,93,
35,35,VDD,VDD_R_2,Right,Outside,3.18138612621452,25.9375416167689,1.4384205,1.15425,4.29935,2.54576,95,
36,36,VDD,VDD_T_10,Top,Outside,3.22056750278584,28.495910896115,1.19475,1.4384205,2.73127,4.26882,98,
37,37,VDD,VDD_T_9,Top,Outside,3.1313034345477,19.7834469284206,0.87075,1.4384205,1.93059,4.38491,102,
38,38,VDD,VDD_T_8,Top,Outside,3.11153435856014,15.0292769498004,0.54675,1.4384205,1.35361,4.44352,106,
39,39,VDD,VDD_T_7,Top,Outside,3.07215615179474,6.69773304211924,0.22275,1.4384205,0.58106,4.48961,110,
40,40,VDD,VDD_T_6,Top,Outside,3.06353323431626,2.61645615287821,0.06075,1.4384205,0.2006,4.49876,112,
41,41,VDD,VDD_T_5,Top,Outside,3.06669228095521,5.66220291456268,-0.26325,1.4384205,-0.56582,4.49015,116,
42,42,VDD,VDD_T_4,Top,Outside,3.0799842638251,10.0003087570948,-0.42525,1.4384205,-0.9601,4.47161,118,
43,43,VDD,VDD_T_3,Top,Outside,3.09139547713007,14.8329007967638,-0.74925,1.4384205,-1.54065,4.4268,122,
44,44,VDD,VDD_T_2,Top,Outside,3.15630436392789,23.575965226675,-1.07325,1.4384205,-2.33566,4.33127,126,
