Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
1,1,VSS,VSS_L_2,Left,Outside,2.09467221715481,20.5344723274052,-1.4384205,1.23525,-3.4,1.97,1,
2,2,VSS,VSS_L_3,Left,Outside,2.05034258047777,16.9207639509293,-1.4384205,1.07325,-3.4,1.67,3,
3,3,VSS,VSS_L_4,Left,Outside,2.02155155692855,13.9910155822024,-1.4384205,0.91125,-3.4,1.4,5,
4,4,VSS,VZZ_L_2,Left,Outside,2.02203602770085,14.0460057313518,-1.4384205,0.74925,-3.4,1.24,7,
5,5,VSS,VSS_L_5,Left,Outside,1.99483876474272,10.4772018101517,-1.4384205,0.58725,-3.4,0.95,9,
6,6,VSS,VSS_L_6,Left,Outside,1.97678949241447,7.11214784968125,-1.4384205,0.42525,-3.4,0.67,11,
7,7,VSS,VSS_L_7,Left,Outside,1.96634043271257,3.98787891174718,-1.4384205,0.26325,-3.4,0.4,13,
8,8,VSS,VZZ_L_3,Left,Outside,1.96179017668054,0.839698684046384,-1.4384205,0.10125,-3.4,0.13,15,
9,9,VSS,VSS_L_8,Left,Outside,1.96280149208224,2.02188369876816,-1.4384205,-0.06075,-3.4,-0.13,17,
10,10,VSS,VSS_L_9,Left,Outside,1.97049656110338,5.45286282547905,-1.4384205,-0.22275,-3.4,-0.41,19,
11,11,VSS,VSS_L_10,Left,Outside,1.98221131500157,8.27387182609695,-1.4384205,-0.38475,-3.4,-0.67,21,
12,12,VSS,VSS_L_11,Left,Outside,2.0025994849995,11.6166912378184,-1.4384205,-0.54675,-3.4,-0.95,23,
13,13,VSS,VZZ_L_4,Left,Outside,2.00219771684023,11.5606306626022,-1.4384205,-0.70875,-3.4,-1.11,25,
14,14,VSS,VSS_L_12,Left,Outside,2.02411578159952,14.2794184049213,-1.4384205,-0.87075,-3.4,-1.37,27,
15,15,VSS,VSS_L_13,Left,Outside,2.06249404782662,17.9972043382395,-1.4384205,-1.03275,-3.4,-1.67,29,
16,16,VSS,VSS_L_14,Left,Outside,2.11665223816296,22.0682775467748,-1.4384205,-1.19475,-3.4,-1.99,31,
17,17,VSS,VZZ_B_2,Bottom,Outside,2.10087462674959,20.9814180562696,-1.16775,-1.4384205,-1.92,-3.4,34,
18,18,VSS,VSS_B_2,Bottom,Outside,2.05550412242843,17.3874519298513,-1.00575,-1.4384205,-1.62,-3.4,36,
19,19,VSS,VZZ_B_3,Bottom,Outside,2.01856587638854,13.6467342904024,-0.84375,-1.4384205,-1.32,-3.4,38,
20,20,VSS,VSS_B_3,Bottom,Outside,1.99963301566069,11.1956939338161,-0.68175,-1.4384205,-1.07,-3.4,40,
21,21,VSS,VZZ_B_4,Bottom,Outside,1.97876835362815,7.55750582918928,-0.51975,-1.4384205,-0.78,-3.4,42,
22,22,VSS,VSS_B_4,Bottom,Outside,1.97903238915391,7.61490567909736,-0.35775,-1.4384205,-0.62,-3.4,44,
23,23,VSS,VSS_B_5,Bottom,Outside,1.96616815082542,3.91520319804735,-0.19575,-1.4384205,-0.33,-3.4,46,
24,24,VSS,VZZ_B_5,Bottom,Outside,,,,,-0.09,-3.4,48,No bond pad - leave disconnected
25,25,VSS,VSS_B_6,Bottom,Outside,,,,,0.23201,-3.4,50,No bond pad - leave disconnected
26,26,VSS,VSS_B_7,Bottom,Outside,1.98635512870188,9.05886879634545,0.31725,-1.4384205,0.63,-3.4,52,
27,27,VSS,VZZ_B_6,Bottom,Outside,2.0020975743755,11.5466120074051,0.47925,-1.4384205,0.88,-3.4,54,
28,28,VSS,VSS_B_8,Bottom,Outside,2.00577807778434,12.0503892299304,0.64125,-1.4384205,1.06,-3.4,56,
29,29,VSS,VZZ_B_7,Bottom,Outside,2.03107353321347,15.0312363805209,0.80325,-1.4384205,1.33,-3.4,58,
30,30,VSS,VSS_B_9,Bottom,Outside,2.06796801167722,18.4583464282063,0.96525,-1.4384205,1.62,-3.4,60,
31,31,VSS,VZZ_B_8,Bottom,Outside,2.11948146897307,22.2561709161496,1.12725,-1.4384205,1.93,-3.4,62,
32,32,VSS,VSS_B_10,Bottom,Outside,2.18422404924958,26.0948674274325,1.28925,-1.4384205,2.25,-3.4,64,
33,33,VSS,VSS_R_14,Right,Outside,2.13200297779348,23.0645384912553,1.4384205,-1.19475,3.4,-2.03,66,
34,34,VSS,VSS_R_13,Right,Outside,2.07848663631024,19.3081856657974,1.4384205,-1.03275,3.4,-1.72,68,
35,35,VSS,VSS_R_12,Right,Outside,2.03702471691441,15.6424560987552,1.4384205,-0.87075,3.4,-1.42,70,
36,36,VSS,VZZ_R_4,Right,Outside,2.00842492947091,12.3991300282735,1.4384205,-0.70875,3.4,-1.14,72,
37,37,VSS,VSS_R_11,Right,Outside,2.00885532015629,12.4548427464369,1.4384205,-0.54675,3.4,-0.98,74,
38,38,VSS,VSS_R_10,Right,Outside,1.98518807605734,8.84510593040598,1.4384205,-0.38475,3.4,-0.69,76,
39,39,VSS,VSS_R_9,Right,Outside,1.96869670018524,4.87341885154623,1.4384205,-0.22275,3.4,-0.39,78,
40,40,VSS,VSS_R_8,Right,Outside,1.96317974147052,2.31355518797462,1.4384205,-0.06075,3.4,-0.14,80,
41,41,VSS,VZZ_R_3,Right,Outside,1.96179017668054,0.839698684046384,1.4384205,0.10125,3.4,0.13,82,
42,42,VSS,VSS_R_7,Right,Outside,1.96783248710866,4.56880268240439,1.4384205,0.26325,3.4,0.42,84,
43,43,VSS,VSS_R_6,Right,Outside,1.97936522585405,7.68663386225842,1.4384205,0.42525,3.4,0.69,86,
44,44,VSS,VSS_R_5,Right,Outside,1.98045113479739,7.91600017140064,1.4384205,0.58725,3.4,0.86,88,
45,45,VSS,VZZ_R_2,Right,Outside,1.99630901849394,10.7029810932554,1.4384205,0.74925,3.4,1.12,90,
46,46,VSS,VSS_R_4,Right,Outside,2.0239925141463,14.2657015576788,1.4384205,0.91125,3.4,1.41,92,
47,47,VSS,VSS_R_3,Right,Outside,2.06233961735701,17.983993034842,1.4384205,1.07325,3.4,1.71,94,
48,48,VSS,VSS_R_2,Right,Outside,2.11272967918763,21.8043857210893,1.4384205,1.23525,3.4,2.02,96,
49,49,VSS,VSS_T_10,Top,Outside,2.15580082505788,24.5074178551116,1.27575,1.4384205,2.17,3.4,97,
50,50,VSS,VZZ_T_8,Top,Outside,2.10231020482712,21.083204943192,1.11375,1.4384205,1.87,3.4,99,
51,51,VSS,VSS_T_9,Top,Outside,2.05077965596508,16.9608574915022,0.95175,1.4384205,1.55,3.4,101,
52,52,VSS,VZZ_T_7,Top,Outside,2.02436266447498,14.3068470840005,0.78975,1.4384205,1.29,3.4,103,
53,53,VSS,VSS_T_8,Top,Outside,1.99658813913142,10.745277511266,0.62775,1.4384205,1,3.4,105,
54,54,VSS,VZZ_T_6,Top,Outside,1.99511207638074,10.5195607174796,0.46575,1.4384205,0.83,3.4,107,
55,55,VSS,VSS_T_7,Top,Outside,1.97575509548128,6.86754852318996,0.30375,1.4384205,0.54,3.4,109,
56,56,VSS,VSS_T_6,Top,Outside,1.96576758476689,3.74073043375984,0.14175,1.4384205,0.27,3.4,111,
57,57,VSS,VZZ_T_5,Top,Outside,1.96168402076386,0.591461279999067,-0.02025,1.4384205,0,3.4,113,
58,58,VSS,VSS_T_5,Top,Outside,1.96354123901696,2.56138225420968,-0.18225,1.4384205,-0.27,3.4,115,
59,59,VSS,VSS_T_4,Top,Outside,1.971322448845,5.69879506071058,-0.34425,1.4384205,-0.54,3.4,117,
60,60,VSS,VZZ_T_4,Top,Outside,1.98811674640104,9.3719266570119,-0.50625,1.4384205,-0.83,3.4,119,
61,61,VSS,VSS_T_3,Top,Outside,1.98779204076288,9.31504846503682,-0.66825,1.4384205,-0.99,3.4,121,
62,62,VSS,VZZ_T_3,Top,Outside,2.01026719550418,12.6357434181777,-0.83025,1.4384205,-1.27,3.4,123,
