Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
1,1,sdi_A_data_7_i,sdi_A_data_7_i,Left,Inside,4.99968608531978,33.6431575511065,-1.3520205,1.27575,-5.51428,4.04567,0,
2,2,sdi_A_data_6_i,sdi_A_data_6_i,Left,Inside,4.96218620360424,31.5551977845145,-1.3520205,1.19475,-5.58048,3.79156,1,
3,3,sdi_A_data_5_i,sdi_A_data_5_i,Left,Inside,4.92706356092148,29.4517492997254,-1.3520205,1.11375,-5.64236,3.53634,2,
4,4,sdi_A_data_4_i,sdi_A_data_4_i,Left,Inside,4.89435156527402,27.3333063207232,-1.3520205,1.03275,-5.69992,3.28007,3,
5,5,sdi_A_data_3_i,sdi_A_data_3_i,Left,Inside,4.86405260598611,25.2007437101798,-1.3520205,0.95175,-5.75312,3.02282,4,
6,6,misc_L_0_i,misc_L_0_i,Left,Inside,4.83621974246934,23.0549470461391,-1.3520205,0.87075,-5.80197,2.76468,5,
7,7,sdi_A_token_o,sdi_A_token_o,Left,Inside,4.81086072683156,20.8965983567072,-1.3520205,0.78975,-5.84645,2.5057,6,
8,8,misc_L_1_i,misc_L_1_i,Left,Inside,4.78799349205701,18.7267482786931,-1.3520205,0.70875,-5.88654,2.24596,7,
9,9,sdi_A_sclk_i,sdi_A_sclk_i,Left,Inside,4.76764856156368,16.5463134167749,-1.3520205,0.62775,-5.92224,1.98553,8,
10,10,misc_L_2_i,misc_L_2_i,Left,Inside,4.74984522503421,14.3563100109209,-1.3520205,0.54675,-5.95354,1.72448,9,
11,11,sdi_A_ncmd_i,sdi_A_ncmd_i,Left,Inside,4.7346005889188,12.1578022415396,-1.3520205,0.46575,-5.98043,1.46288,10,
12,12,sdi_A_data_2_i,sdi_A_data_2_i,Left,Inside,4.72193929902855,9.95187529684695,-1.3520205,0.38475,-6.00291,1.2008,11,
13,13,sdi_A_data_1_i,sdi_A_data_1_i,Left,Inside,4.71185140762846,7.73947631167142,-1.3520205,0.30375,-6.02095,0.93829,12,
14,14,sdi_A_data_0_i,sdi_A_data_0_i,Left,Inside,4.70438169262978,5.52208556656037,-1.3520205,0.22275,-6.03457,0.67545,13,
15,15,misc_L_3_o,misc_L_3_o,Left,Inside,4.69952485109615,3.30056694293137,-1.3520205,0.14175,-6.04375,0.41232,14,
16,16,clk_0_p_i,clk_0_p_i,Left,Inside,4.69729819122975,1.07625782295759,-1.3520205,0.06075,-6.04849,0.14898,15,
17,17,clk_0_n_i,clk_0_n_i,Left,Inside,4.69770506346878,1.14960166537761,-1.3520205,-0.02025,-6.04878,-0.1145,16,
18,18,misc_L_4_i,misc_L_4_i,Left,Inside,4.70074674829545,3.37589450691271,-1.3520205,-0.10125,-6.04461,-0.37806,17,
19,19,sdi_B_data_0_io,sdi_B_data_0_io,Left,Inside,4.70644242090884,5.60136636018425,-1.3520205,-0.18225,-6.03599,-0.64163,18,
20,20,sdi_B_data_1_io,sdi_B_data_1_io,Left,Inside,4.71477868787287,7.82479141631116,-1.3520205,-0.26325,-6.0229,-0.90514,19,
21,21,sdi_B_data_2_io,sdi_B_data_2_io,Left,Inside,4.7257711491322,10.045042862321,-1.3520205,-0.34425,-6.00535,-1.16853,20,
22,22,sdi_B_data_3_io,sdi_B_data_3_io,Left,Inside,4.7393983574184,12.2607071171012,-1.3520205,-0.42525,-5.98332,-1.43171,21,
23,23,sdi_B_ncmd_i,sdi_B_ncmd_i,Left,Inside,4.75567297651975,14.4708149166527,-1.3520205,-0.50625,-5.95682,-1.69463,22,
24,24,misc_L_5_i,misc_L_5_i,Left,Inside,4.77457052978488,16.6741543312813,-1.3520205,-0.58725,-5.92583,-1.95721,23,
25,25,sdi_B_token_o,sdi_B_token_o,Left,Inside,4.79610795163644,18.8696610438784,-1.3520205,-0.66825,-5.89037,-2.21939,24,
26,26,misc_L_6_i,misc_L_6_i,Left,Inside,4.8202524011197,21.0561087173829,-1.3520205,-0.74925,-5.85042,-2.48108,25,
27,27,sdi_B_sclk_i,sdi_B_sclk_i,Left,Inside,4.84699352890431,23.2324919955099,-1.3520205,-0.83025,-5.80598,-2.74221,26,
28,28,misc_L_7_i,misc_L_7_i,Left,Inside,4.87634164700857,25.3978635439539,-1.3520205,-0.91125,-5.75707,-3.00272,27,
29,29,sdi_B_data_4_io,sdi_B_data_4_io,Left,Inside,4.90825623248728,27.5511988682191,-1.3520205,-0.99225,-5.70367,-3.26252,28,
30,30,sdi_B_data_5_io,sdi_B_data_5_io,Left,Inside,4.94273005971702,29.6916136034736,-1.3520205,-1.07325,-5.64579,-3.52154,29,
31,31,sdi_B_data_6_io,sdi_B_data_6_io,Left,Inside,4.97975413013336,31.8182738960279,-1.3520205,-1.15425,-5.58344,-3.77971,30,
32,32,sdi_B_data_7_io,sdi_B_data_7_io,Left,Inside,5.01929834254752,33.9302741758169,-1.3520205,-1.23525,-5.51662,-4.03694,31,
33,33,sdo_C_data_8_o,sdo_C_data_8_o,Bottom,Inside,5.08044677075848,36.3625555660226,-1.28925,-1.3520205,-4.30141,-5.44321,32,
34,34,sdo_C_data_7_o,sdo_C_data_7_o,Bottom,Inside,5.03704545548879,34.2627438027797,-1.20825,-1.3520205,-4.04405,-5.51496,33,
35,35,sdo_C_data_6_o,sdo_C_data_6_o,Bottom,Inside,4.99608752791424,32.1447692948947,-1.12725,-1.3520205,-3.78547,-5.58224,34,
36,36,sdo_C_data_5_o,sdo_C_data_5_o,Bottom,Inside,4.9576276713737,30.0092907373308,-1.04625,-1.3520205,-3.52576,-5.64505,35,
37,37,sdo_C_data_4_o,sdo_C_data_4_o,Bottom,Inside,4.92169610334184,27.8570877255902,-0.96525,-1.3520205,-3.265,-5.70337,36,
38,38,sdo_C_data_3_o,sdo_C_data_3_o,Bottom,Inside,4.88832504073023,25.6888586121194,-0.88425,-1.3520205,-3.00326,-5.75719,37,
39,39,sdo_C_data_2_o,sdo_C_data_2_o,Bottom,Inside,4.85753146711787,23.5055803088198,-0.80325,-1.3520205,-2.74062,-5.80648,38,
40,40,sdo_C_data_1_o,sdo_C_data_1_o,Bottom,Inside,4.82936592129549,21.3081102579629,-0.72225,-1.3520205,-2.47716,-5.85125,39,
41,41,sdo_C_data_0_o,sdo_C_data_0_o,Bottom,Inside,4.80197956973687,18.9828182354713,-0.64125,-1.3520205,-2.20326,-5.89285,40,
42,42,sdo_C_ncmd_o,sdo_C_ncmd_o,Bottom,Inside,4.77926753234324,16.7541682276796,-0.56025,-1.3520205,-1.93795,-5.92841,41,
43,43,sdo_C_token_i,sdo_C_token_i,Bottom,Inside,4.75929455843198,14.5153924319483,-0.47925,-1.3520205,-1.67212,-5.9594,42,
44,44,JTAG_TMS_i,JTAG_TMS_i,Bottom,Inside,4.74205966970263,12.2675675527268,-0.39825,-1.3520205,-1.40583,-5.9858,43,
45,45,sdo_C_sclk_o,sdo_C_sclk_o,Bottom,Inside,4.72759375925007,10.0119615358344,-0.31725,-1.3520205,-1.13916,-6.00762,44,
46,46,JTAG_TDI_i,JTAG_TDI_i,Bottom,Inside,4.71591440511384,7.74993324105811,-0.23625,-1.3520205,-0.87219,-6.02486,45,
47,47,PLL_VDD_i,PLL_VDD_i,Bottom,Inside,3.16009350480334,6.38372141270054,-0.14175,-1.3520205,-0.49311,-4.49252,46,
48,48,PLL_VSS_i,PLL_VSS_i,Bottom,Inside,3.15168210419773,3.41684875186465,-0.06075,-1.3520205,-0.24859,-4.4981,47,
49,49,PLL_CLK_i,PLL_CLK_i,Bottom,Inside,4.70142385412763,2.79288079565979,0.02025,-1.3520205,-0.20883,-6.04786,48,
50,50,PLL_V33_i,PLL_V33_i,Bottom,Inside,3.14961148987621,2.72901108675565,0.10125,-1.3520205,0.25121,-4.49806,49,
51,51,PLL_VZZ_i,PLL_VZZ_i,Bottom,Inside,3.15515301933048,5.46537471448974,0.18225,-1.3520205,0.48276,-4.49283,50,
52,52,JTAG_TCK_i,JTAG_TCK_i,Bottom,Inside,4.7371221618732,10.7433872218644,0.27675,-1.3520205,1.1598,-6.00611,51,
53,53,sdo_D_sclk_o,sdo_D_sclk_o,Bottom,Inside,4.75360669077494,12.9920976070744,0.35775,-1.3520205,1.42644,-5.98394,52,
54,54,JTAG_TRST_i,JTAG_TRST_i,Bottom,Inside,4.77282773866188,15.2319255318682,0.43875,-1.3520205,1.6927,-5.95718,53,
55,55,sdo_D_token_i,sdo_D_token_i,Bottom,Inside,4.79477073290061,17.4615964067611,0.51975,-1.3520205,1.9585,-5.92584,54,
56,56,sdo_D_ncmd_o,sdo_D_ncmd_o,Bottom,Inside,4.81941740154246,19.679888572764,0.60075,-1.3520205,2.22376,-5.88993,55,
57,57,sdo_D_data_0_o,sdo_D_data_0_o,Bottom,Inside,4.84673484398314,21.8859489184428,0.68175,-1.3520205,2.48842,-5.84944,56,
58,58,sdo_D_data_1_o,sdo_D_data_1_o,Bottom,Inside,4.87669687871209,24.078586329651,0.76275,-1.3520205,2.75239,-5.80438,57,
59,59,sdo_D_data_2_o,sdo_D_data_2_o,Bottom,Inside,4.90929074126296,26.2568479396601,0.84375,-1.3520205,3.0156,-5.75477,58,
60,60,sdo_D_data_3_o,sdo_D_data_3_o,Bottom,Inside,4.94447045053565,28.4198955196193,0.92475,-1.3520205,3.27797,-5.7006,59,
61,61,sdo_D_data_4_o,sdo_D_data_4_o,Bottom,Inside,4.98220968272415,30.5667233897624,1.00575,-1.3520205,3.53941,-5.64189,60,
62,62,sdo_D_data_5_o,sdo_D_data_5_o,Bottom,Inside,5.02247730406821,32.6968177099936,1.08675,-1.3520205,3.79986,-5.57864,61,
63,63,sdo_D_data_6_o,sdo_D_data_6_o,Bottom,Inside,5.06525112221894,34.8092638382312,1.16775,-1.3520205,4.05923,-5.51088,62,
64,64,sdo_D_data_7_o,sdo_D_data_7_o,Bottom,Inside,5.1104864795448,36.9035128302804,1.24875,-1.3520205,4.31744,-5.43861,63,
65,65,sdi_D_data_7_io,sdi_D_data_7_io,Right,Inside,5.08197693474894,35.9275517775414,1.3520205,-1.23525,5.4672,-4.21716,65,
66,66,sdi_D_data_6_io,sdi_D_data_6_io,Right,Inside,5.03539984547506,33.7273097694498,1.3520205,-1.15425,5.53991,-3.95011,66,
67,67,sdi_D_data_5_io,sdi_D_data_5_io,Right,Inside,4.99169580570774,31.5074865842968,1.3520205,-1.07325,5.6078,-3.68196,67,
68,68,sdi_D_data_4_io,sdi_D_data_4_io,Right,Inside,4.95088030204531,29.2690319991328,1.3520205,-0.99225,5.67084,-3.41279,68,
69,69,misc_R_7_i,misc_R_7_i,Right,Inside,4.91300561540288,27.0128554202232,1.3520205,-0.91125,5.72904,-3.14269,69,
70,70,sdi_D_sclk_io,sdi_D_sclk_io,Right,Inside,4.87809047879806,24.7400405204739,1.3520205,-0.83025,5.78238,-2.87174,70,
71,71,misc_R_6_i,misc_R_6_i,Right,Inside,4.84617812678715,22.4516092170229,1.3520205,-0.74925,5.83087,-2.60002,71,
72,72,sdi_D_token_o,sdi_D_token_o,Right,Inside,4.81730173437582,20.1491174711078,1.3520205,-0.66825,5.8745,-2.32764,72,
73,73,misc_R_5_i,misc_R_5_i,Right,Inside,4.79148088896849,17.8336210972213,1.3520205,-0.58725,5.91327,-2.05466,73,
74,74,sdi_D_ncmd_o,sdi_D_ncmd_o,Right,Inside,4.76873357756022,15.5066255738655,1.3520205,-0.50625,5.94717,-1.78117,74,
75,75,sdi_D_data_3_io,sdi_D_data_3_io,Right,Inside,4.74909938996861,13.1695055465036,1.3520205,-0.42525,5.97622,-1.50725,75,
76,76,sdi_D_data_2_io,sdi_D_data_2_io,Right,Inside,4.7325776024932,10.8239531761802,1.3520205,-0.34425,6.0004,-1.23299,76,
77,77,sdi_D_data_1_io,sdi_D_data_1_io,Right,Inside,4.71920632847095,8.47123750743454,1.3520205,-0.26325,6.01974,-0.95845,77,
78,78,sdi_D_data_0_io,sdi_D_data_0_io,Right,Inside,4.70896811459902,6.11328766377779,1.3520205,-0.18225,6.03421,-0.68373,78,
79,79,misc_R_4_i,misc_R_4_i,Right,Inside,4.70189457454974,3.75148229116177,1.3520205,-0.10125,6.04384,-0.40889,79,
80,80,clk_1_n_o,clk_1_n_o,Right,Inside,4.69797727498764,1.38765638035831,1.3520205,-0.02025,6.04862,-0.13402,80,
81,81,clk_1_p_o,clk_1_p_o,Right,Inside,4.69722182557523,0.976603277591877,1.3520205,0.06075,6.04856,0.14081,81,
82,82,misc_R_3_o,misc_R_3_o,Right,Inside,4.69963030926372,3.3395713473904,1.3520205,0.14175,6.04367,0.41552,82,
83,83,sdi_C_data_0_i,sdi_C_data_0_i,Right,Inside,4.70518020939478,5.69954327906144,1.3520205,0.22275,6.03394,0.69003,83,
84,84,sdi_C_data_1_i,sdi_C_data_1_i,Right,Inside,4.71386726405615,8.05507153664361,1.3520205,0.30375,6.01938,0.96428,84,
85,85,sdi_C_data_2_i,sdi_C_data_2_i,Right,Inside,4.72568050097764,10.4043661445166,1.3520205,0.38475,6,1.23818,85,
86,86,sdi_C_ncmd_o,sdi_C_ncmd_o,Right,Inside,4.74058553336297,12.7458479497767,1.3520205,0.46575,5.97579,1.51165,86,
87,87,misc_R_2_i,misc_R_2_i,Right,Inside,4.75858560916374,15.0780145132482,1.3520205,0.54675,5.94678,1.78462,87,
88,88,sdi_C_sclk_io,sdi_C_sclk_io,Right,Inside,4.77963944981839,17.3994074644815,1.3520205,0.62775,5.91296,2.05701,88,
89,89,misc_R_1_i,misc_R_1_i,Right,Inside,4.80371219099253,19.7086327909448,1.3520205,0.70875,5.87433,2.32874,89,
90,90,sdi_C_token_o,sdi_C_token_o,Right,Inside,4.83079375791394,22.004257327454,1.3520205,0.78975,5.83092,2.59973,90,
91,91,misc_R_0_i,misc_R_0_i,Right,Inside,4.8608381389417,24.2849379146867,1.3520205,0.87075,5.78273,2.86989,91,
92,92,sdi_C_data_3_i,sdi_C_data_3_i,Right,Inside,4.89380443927424,26.5496602603158,1.3520205,0.95175,5.72976,3.13915,92,
93,93,sdi_C_data_4_i,sdi_C_data_4_i,Right,Inside,4.92967276629801,28.7972417241929,1.3520205,1.03275,5.67204,3.40743,93,
94,94,sdi_C_data_5_i,sdi_C_data_5_i,Right,Inside,4.96838860567994,31.0266514144243,1.3520205,1.11375,5.60957,3.67464,94,
95,95,sdi_C_data_6_i,sdi_C_data_6_i,Right,Inside,5.0076373504718,33.159288450176,1.3520205,1.19475,5.54418,3.93377,95,
96,96,sdi_C_data_7_i,sdi_C_data_7_i,Right,Inside,5.05163303671201,35.3456698535567,1.3520205,1.27575,5.47252,4.19816,96,
97,97,sdo_B_data_7_o,sdo_B_data_7_o,Top,Inside,5.05434657285986,35.0702737595419,1.23525,1.3520205,4.13938,5.48874,97,
98,98,sdo_B_data_6_o,sdo_B_data_6_o,Top,Inside,5.01098002199572,32.9117625204094,1.15425,1.3520205,3.87695,5.55878,98,
99,99,sdo_B_data_5_o,sdo_B_data_5_o,Top,Inside,4.97031811232141,30.7363288426707,1.07325,1.3520205,3.61352,5.62415,99,
100,100,sdo_B_data_4_o,sdo_B_data_4_o,Top,Inside,4.93238646338365,28.5446677928507,0.99225,1.3520205,3.34916,5.68485,100,
101,101,sdo_B_data_3_o,sdo_B_data_3_o,Top,Inside,4.89723265594256,26.3378174136284,0.91125,1.3520205,3.08397,5.74089,101,
102,102,sdo_B_data_2_o,sdo_B_data_2_o,Top,Inside,4.86484727671694,24.1167051180843,0.83025,1.3520205,2.81801,5.79224,102,
103,103,sdo_B_data_1_o,sdo_B_data_1_o,Top,Inside,4.83527144244356,21.8825406743912,0.74925,1.3520205,2.55138,5.83891,103,
104,104,sdo_B_data_0_o,sdo_B_data_0_o,Top,Inside,4.80851848469154,19.6362406786835,0.66825,1.3520205,2.28414,5.8809,104,
105,105,sdo_B_ncmd_o,sdo_B_ncmd_o,Top,Inside,4.78462019712122,17.37908645306,0.58725,1.3520205,2.01638,5.91822,105,
106,106,sdo_B_token_i,sdo_B_token_i,Top,Inside,4.76358455489039,15.1092782601222,0.50625,1.3520205,1.74793,5.95093,106,
