Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Width,Height
18,18,VDD,vdd_r_2_PAD,E,I,3.846568376,19.56748861,1.347661,0.612,-5,2.1,0.075,0.044
34,34,VDD,vdd_r_4_PAD,E,I,3.752903321,1.266154079,1.347661,0.017,5.099648,0.099927,0.075,0.044
42,42,VDD,vdd_r_5_PAD,E,I,3.767535082,8.073390473,1.347661,-0.263,5.077856,-0.792118,0.075,0.044
50,50,VDD,vdd_r_6_PAD,E,I,3.813472132,16.65132675,1.347661,-0.578,5.00122,-1.670738,0.075,0.044
58,58,VDD,vdd_r_7_PAD,E,I,3.851095445,22.41252994,1.347661,-0.858,4.907855,-2.326317,0.075,0.044
66,66,VDD,vdd_r_8_PAD,E,I,3.959064849,31.44835285,1.347661,-1.173,4.725182,-3.238562,0.075,0.044
74,74,VDD,vdd_b_0_PAD,S,I,3.931772758,60.91954774,1.067,-1.347607,2.977988,-4.783733,0.044,0.075
82,82,VDD,vdd_b_1_PAD,S,I,3.888655909,66.38394637,0.752,-1.347607,2.309818,-4.91059,0.044,0.075
90,90,VDD,vdd_b_2_PAD,S,I,3.80075187,75.60428863,0.472,-1.347607,1.416933,-5.029022,0.044,0.075
98,98,VDD,vdd_b_3_PAD,S,I,3.75923721,84.76970235,0.157,-1.347607,0.499689,-5.091192,0.044,0.075
106,106,VDD,vdd_b_4_PAD,S,I,3.757019247,85.75697366,-0.123,-1.347607,-0.400971,-5.094329,0.044,0.075
114,114,VDD,vdd_b_5_PAD,S,I,3.789741278,77.10408192,-0.438,-1.347607,-1.283797,-5.04176,0.044,0.075
122,122,VDD,vdd_b_6_PAD,S,I,3.884959786,66.93063555,-0.718,-1.347607,-2.240303,-4.921891,0.044,0.075
130,130,VDD,vdd_b_7_PAD,S,I,3.923150789,61.69410365,-1.033,-1.347607,-2.893275,-4.801661,0.044,0.075
138,138,VDD,vdd_l_0_PAD,W,I,3.911027277,29.72463716,-1.347607,-1.218,-4.744015,-3.157213,0.075,0.044
146,146,VDD,vdd_l_1_PAD,W,I,3.836531541,21.74327439,-1.347607,-0.885,-4.911181,-2.306237,0.075,0.044
154,154,VDD,vdd_l_2_PAD,W,I,3.806995664,16.21277452,-1.347607,-0.591,-5.003204,-1.653933,0.075,0.044
162,162,VDD,vdd_l_3_PAD,W,I,3.764422387,7.429499755,-1.347607,-0.258,-5.080426,-0.744763,0.075,0.044
170,170,VDD,vdd_l_4_PAD,W,I,3.752637672,1.052949875,-1.347607,0.036,-5.099611,0.036,0.075,0.044
178,178,VDD,vdd_l_5_PAD,W,I,3.766195454,8.973835103,-1.347607,0.369,-5.067703,0.369,0.075,0.044
186,186,VDD,vdd_l_6_PAD,W,I,3.783638208,14.76474102,-1.347607,0.663,-5.006311,0.663,0.075,0.044
194,194,VDD,vdd_l_7_PAD,W,I,3.893192802,26.3732958,-1.347607,0.996,-5,0.996,0.075,0.044
202,202,VDD,vdd_t_0_PAD,N,O,3.959824793,53.8409959,-1.26,1.439207,-3.596408,4.636301,0.044,0.075
210,210,VDD,vdd_t_1_PAD,N,O,3.831842565,62.48265239,-0.945,1.439207,-2.715377,4.837557,0.044,0.075
218,218,VDD,vdd_t_2_PAD,N,O,3.779909082,68.16565775,-0.665,1.439207,-2.07084,4.947957,0.044,0.075
226,226,VDD,vdd_t_3_PAD,N,O,3.708262152,76.79020616,-0.35,1.439207,-1.197402,5.049348,0.044,0.075
238,238,VDD,vdd_t_4_PAD,N,O,3.676423821,83.18697559,0.105,1.439207,0.541133,5.08967,0.044,0.075
246,246,VDD,vdd_t_5_PAD,N,O,3.719224122,75.06826626,0.42,1.439207,1.378325,5.032846,0.044,0.075
254,254,VDD,vdd_t_6_PAD,N,O,3.803098371,66.42915833,0.7,1.439207,2.220793,4.924999,0.044,0.075
262,262,VDD,vdd_t_7_PAD,N,O,3.913588377,58.05703571,1.015,1.439207,3.085581,4.760181,0.044,0.075
234,234,VDD_PLL,vdd_pll_PAD,N,O,3.667192093,85.86042968,-0.035,1.439207,-0.299721,5.096832,0.044,0.075
