Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
1,ci_0_i_PAD,E,I,1.347661,1.242,0.075,0.044
2,vdd_r_0_PAD,E,O,1.439207,1.207,0.075,0.044
3,ci_1_i_PAD,E,I,1.347661,1.172,0.075,0.044
4,vss_r_0_PAD,E,O,1.439207,1.137,0.075,0.044
5,ci_2_i_PAD,E,I,1.347661,1.102,0.075,0.044
6,v18_r_0_PAD,E,O,1.439207,1.067,0.075,0.044
7,ci_3_i_PAD,E,I,1.347661,1.032,0.075,0.044
8,vzz_r_0_PAD,E,O,1.439207,0.997,0.075,0.044
9,ci_4_i_PAD,E,I,1.347661,0.927,0.075,0.044
10,vdd_r_1_PAD,E,O,1.439207,0.892,0.075,0.044
11,ci_clk_i_PAD,E,I,1.347661,0.857,0.075,0.044
12,vss_r_1_PAD,E,O,1.439207,0.822,0.075,0.044
13,ci_tkn_o_PAD,E,I,1.347661,0.787,0.075,0.044
14,v18_r_1_PAD,E,O,1.439207,0.752,0.075,0.044
15,ci_v_i_PAD,E,I,1.347661,0.717,0.075,0.044
16,vzz_r_1_PAD,E,O,1.439207,0.682,0.075,0.044
17,ci_5_i_PAD,E,I,1.347661,0.647,0.075,0.044
18,vdd_r_2_PAD,E,O,1.439207,0.612,0.075,0.044
19,ci_6_i_PAD,E,I,1.347661,0.577,0.075,0.044
20,vss_r_2_PAD,E,O,1.439207,0.542,0.075,0.044
21,ci_7_i_PAD,E,I,1.347661,0.507,0.075,0.044
22,v18_r_2_PAD,E,O,1.439207,0.472,0.075,0.044
23,ci_8_i_PAD,E,I,1.347661,0.437,0.075,0.044
24,vzz_r_2_PAD,E,O,1.439207,0.402,0.075,0.044
25,bsg_tag_en_i_PAD,E,I,1.347661,0.367,0.075,0.044
26,vdd_r_3_PAD,E,O,1.439207,0.297,0.075,0.044
27,bsg_tag_data_i_PAD,E,I,1.347661,0.262,0.075,0.044
28,vss_r_3_PAD,E,O,1.439207,0.227,0.075,0.044
29,bsg_tag_clk_i_PAD,E,I,1.347661,0.192,0.075,0.044
30,v18_r_3_PAD,E,O,1.439207,0.157,0.075,0.044
31,ddr_dm_3_o_PAD,E,I,1.347661,0.122,0.075,0.044
32,vzz_r_3_PAD,E,O,1.439207,0.087,0.075,0.044
33,ddr_dqs_p_3_io_PAD,E,I,1.347661,0.052,0.075,0.044
34,vdd_r_4_PAD,E,O,1.439207,0.017,0.075,0.044
35,ddr_dqs_n_3_io_PAD,E,I,1.347661,-0.018,0.075,0.044
36,vss_r_4_PAD,E,O,1.439207,-0.053,0.075,0.044
37,ddr_dq_24_io_PAD,E,I,1.347661,-0.088,0.075,0.044
38,v18_r_4_PAD,E,O,1.439207,-0.123,0.075,0.044
39,ddr_dq_25_io_PAD,E,I,1.347661,-0.158,0.075,0.044
40,vzz_r_4_PAD,E,O,1.439207,-0.193,0.075,0.044
41,ddr_dq_26_io_PAD,E,I,1.347661,-0.228,0.075,0.044
42,vdd_r_5_PAD,E,O,1.439207,-0.263,0.075,0.044
43,ddr_dq_27_io_PAD,E,I,1.347661,-0.333,0.075,0.044
44,vss_r_5_PAD,E,O,1.439207,-0.368,0.075,0.044
45,ddr_dq_28_io_PAD,E,I,1.347661,-0.403,0.075,0.044
46,v18_r_5_PAD,E,O,1.439207,-0.438,0.075,0.044
47,ddr_dq_29_io_PAD,E,I,1.347661,-0.473,0.075,0.044
48,vzz_r_5_PAD,E,O,1.439207,-0.508,0.075,0.044
49,ddr_dq_30_io_PAD,E,I,1.347661,-0.543,0.075,0.044
50,vdd_r_6_PAD,E,O,1.439207,-0.578,0.075,0.044
51,ddr_dq_31_io_PAD,E,I,1.347661,-0.613,0.075,0.044
52,vss_r_6_PAD,E,O,1.439207,-0.648,0.075,0.044
53,ddr_dq_16_io_PAD,E,I,1.347661,-0.683,0.075,0.044
54,v18_r_6_PAD,E,O,1.439207,-0.718,0.075,0.044
55,ddr_dq_17_io_PAD,E,I,1.347661,-0.753,0.075,0.044
56,vzz_r_6_PAD,E,O,1.439207,-0.788,0.075,0.044
57,ddr_dq_18_io_PAD,E,I,1.347661,-0.823,0.075,0.044
58,vdd_r_7_PAD,E,O,1.439207,-0.858,0.075,0.044
59,ddr_dq_19_io_PAD,E,I,1.347661,-0.893,0.075,0.044
60,vss_r_7_PAD,E,O,1.439207,-0.963,0.075,0.044
61,ddr_dq_20_io_PAD,E,I,1.347661,-0.998,0.075,0.044
62,v18_r_7_PAD,E,O,1.439207,-1.033,0.075,0.044
63,ddr_dq_21_io_PAD,E,I,1.347661,-1.068,0.075,0.044
64,vzz_r_7_PAD,E,O,1.439207,-1.103,0.075,0.044
65,ddr_dq_22_io_PAD,E,I,1.347661,-1.138,0.075,0.044
66,vdd_r_8_PAD,E,O,1.439207,-1.173,0.075,0.044
67,ddr_dq_23_io_PAD,E,I,1.347661,-1.208,0.075,0.044
68,vss_r_8_PAD,E,O,1.439207,-1.243,0.075,0.044
69,ddr_dm_2_o_PAD,S,I,1.242,-1.347607,0.044,0.075
70,v18_b_0_PAD,S,O,1.207,-1.439207,0.044,0.075
71,ddr_dqs_p_2_io_PAD,S,I,1.172,-1.347607,0.044,0.075
72,vzz_b_0_PAD,S,O,1.137,-1.439207,0.044,0.075
73,ddr_dqs_n_2_io_PAD,S,I,1.102,-1.347607,0.044,0.075
74,vdd_b_0_PAD,S,O,1.067,-1.439207,0.044,0.075
75,ddr_ck_p_o_PAD,S,I,1.032,-1.347607,0.044,0.075
76,vss_b_0_PAD,S,O,0.997,-1.439207,0.044,0.075
77,ddr_ck_n_o_PAD,S,I,0.927,-1.347607,0.044,0.075
78,v18_b_1_PAD,S,O,0.892,-1.439207,0.044,0.075
79,ddr_cke_o_PAD,S,I,0.857,-1.347607,0.044,0.075
80,vzz_b_1_PAD,S,O,0.822,-1.439207,0.044,0.075
81,ddr_cs_n_o_PAD,S,I,0.787,-1.347607,0.044,0.075
82,vdd_b_1_PAD,S,O,0.752,-1.439207,0.044,0.075
83,ddr_ras_n_o_PAD,S,I,0.717,-1.347607,0.044,0.075
84,vss_b_1_PAD,S,O,0.682,-1.439207,0.044,0.075
85,ddr_cas_n_o_PAD,S,I,0.647,-1.347607,0.044,0.075
86,v18_b_2_PAD,S,O,0.612,-1.439207,0.044,0.075
87,ddr_we_n_o_PAD,S,I,0.577,-1.347607,0.044,0.075
88,vzz_b_2_PAD,S,O,0.542,-1.439207,0.044,0.075
89,ddr_reset_n_o_PAD,S,I,0.507,-1.347607,0.044,0.075
90,vdd_b_2_PAD,S,O,0.472,-1.439207,0.044,0.075
91,ddr_odt_o_PAD,S,I,0.437,-1.347607,0.044,0.075
92,vss_b_2_PAD,S,O,0.402,-1.439207,0.044,0.075
93,ddr_addr_0_o_PAD,S,I,0.367,-1.347607,0.044,0.075
94,v18_b_3_PAD,S,O,0.297,-1.439207,0.044,0.075
95,ddr_addr_1_o_PAD,S,I,0.262,-1.347607,0.044,0.075
96,vzz_b_3_PAD,S,O,0.227,-1.439207,0.044,0.075
97,ddr_addr_2_o_PAD,S,I,0.192,-1.347607,0.044,0.075
98,vdd_b_3_PAD,S,O,0.157,-1.439207,0.044,0.075
99,ddr_addr_3_o_PAD,S,I,0.122,-1.347607,0.044,0.075
100,vss_b_3_PAD,S,O,0.087,-1.439207,0.044,0.075
101,ddr_addr_4_o_PAD,S,I,0.052,-1.347607,0.044,0.075
102,v18_b_4_PAD,S,O,0.017,-1.439207,0.044,0.075
103,ddr_addr_5_o_PAD,S,I,-0.018,-1.347607,0.044,0.075
104,vzz_b_4_PAD,S,O,-0.053,-1.439207,0.044,0.075
105,ddr_addr_6_o_PAD,S,I,-0.088,-1.347607,0.044,0.075
106,vdd_b_4_PAD,S,O,-0.123,-1.439207,0.044,0.075
107,ddr_addr_7_o_PAD,S,I,-0.158,-1.347607,0.044,0.075
108,vss_b_4_PAD,S,O,-0.193,-1.439207,0.044,0.075
109,ddr_addr_8_o_PAD,S,I,-0.228,-1.347607,0.044,0.075
110,v18_b_5_PAD,S,O,-0.263,-1.439207,0.044,0.075
111,ddr_addr_9_o_PAD,S,I,-0.333,-1.347607,0.044,0.075
112,vzz_b_5_PAD,S,O,-0.368,-1.439207,0.044,0.075
113,ddr_addr_10_o_PAD,S,I,-0.403,-1.347607,0.044,0.075
114,vdd_b_5_PAD,S,O,-0.438,-1.439207,0.044,0.075
115,ddr_addr_11_o_PAD,S,I,-0.473,-1.347607,0.044,0.075
116,vss_b_5_PAD,S,O,-0.508,-1.439207,0.044,0.075
117,ddr_addr_12_o_PAD,S,I,-0.543,-1.347607,0.044,0.075
118,v18_b_6_PAD,S,O,-0.578,-1.439207,0.044,0.075
119,ddr_addr_13_o_PAD,S,I,-0.613,-1.347607,0.044,0.075
120,vzz_b_6_PAD,S,O,-0.648,-1.439207,0.044,0.075
121,ddr_addr_14_o_PAD,S,I,-0.683,-1.347607,0.044,0.075
122,vdd_b_6_PAD,S,O,-0.718,-1.439207,0.044,0.075
123,ddr_addr_15_o_PAD,S,I,-0.753,-1.347607,0.044,0.075
