Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
1,ci_0_i_PAD,E,I,1.347661,1.242,0.075,0.044
3,ci_1_i_PAD,E,I,1.347661,1.172,0.075,0.044
5,ci_2_i_PAD,E,I,1.347661,1.102,0.075,0.044
7,ci_3_i_PAD,E,I,1.347661,1.032,0.075,0.044
9,ci_4_i_PAD,E,I,1.347661,0.927,0.075,0.044
11,ci_clk_i_PAD,E,I,1.347661,0.857,0.075,0.044
13,ci_tkn_o_PAD,E,I,1.347661,0.787,0.075,0.044
15,ci_v_i_PAD,E,I,1.347661,0.717,0.075,0.044
17,ci_5_i_PAD,E,I,1.347661,0.647,0.075,0.044
19,ci_6_i_PAD,E,I,1.347661,0.577,0.075,0.044
21,ci_7_i_PAD,E,I,1.347661,0.507,0.075,0.044
23,ci_8_i_PAD,E,I,1.347661,0.437,0.075,0.044
25,bsg_tag_en_i_PAD,E,I,1.347661,0.367,0.075,0.044
27,bsg_tag_data_i_PAD,E,I,1.347661,0.262,0.075,0.044
29,bsg_tag_clk_i_PAD,E,I,1.347661,0.192,0.075,0.044
31,ddr_dm_3_o_PAD,E,I,1.347661,0.122,0.075,0.044
33,ddr_dqs_p_3_io_PAD,E,I,1.347661,0.052,0.075,0.044
35,ddr_dqs_n_3_io_PAD,E,I,1.347661,-0.018,0.075,0.044
37,ddr_dq_24_io_PAD,E,I,1.347661,-0.088,0.075,0.044
39,ddr_dq_25_io_PAD,E,I,1.347661,-0.158,0.075,0.044
41,ddr_dq_26_io_PAD,E,I,1.347661,-0.228,0.075,0.044
43,ddr_dq_27_io_PAD,E,I,1.347661,-0.333,0.075,0.044
45,ddr_dq_28_io_PAD,E,I,1.347661,-0.403,0.075,0.044
47,ddr_dq_29_io_PAD,E,I,1.347661,-0.473,0.075,0.044
49,ddr_dq_30_io_PAD,E,I,1.347661,-0.543,0.075,0.044
51,ddr_dq_31_io_PAD,E,I,1.347661,-0.613,0.075,0.044
53,ddr_dq_16_io_PAD,E,I,1.347661,-0.683,0.075,0.044
55,ddr_dq_17_io_PAD,E,I,1.347661,-0.753,0.075,0.044
57,ddr_dq_18_io_PAD,E,I,1.347661,-0.823,0.075,0.044
59,ddr_dq_19_io_PAD,E,I,1.347661,-0.893,0.075,0.044
61,ddr_dq_20_io_PAD,E,I,1.347661,-0.998,0.075,0.044
63,ddr_dq_21_io_PAD,E,I,1.347661,-1.068,0.075,0.044
65,ddr_dq_22_io_PAD,E,I,1.347661,-1.138,0.075,0.044
67,ddr_dq_23_io_PAD,E,I,1.347661,-1.208,0.075,0.044
69,ddr_dm_2_o_PAD,S,I,1.242,-1.347607,0.044,0.075
71,ddr_dqs_p_2_io_PAD,S,I,1.172,-1.347607,0.044,0.075
73,ddr_dqs_n_2_io_PAD,S,I,1.102,-1.347607,0.044,0.075
75,ddr_ck_p_o_PAD,S,I,1.032,-1.347607,0.044,0.075
77,ddr_ck_n_o_PAD,S,I,0.927,-1.347607,0.044,0.075
79,ddr_cke_o_PAD,S,I,0.857,-1.347607,0.044,0.075
81,ddr_cs_n_o_PAD,S,I,0.787,-1.347607,0.044,0.075
83,ddr_ras_n_o_PAD,S,I,0.717,-1.347607,0.044,0.075
85,ddr_cas_n_o_PAD,S,I,0.647,-1.347607,0.044,0.075
87,ddr_we_n_o_PAD,S,I,0.577,-1.347607,0.044,0.075
89,ddr_reset_n_o_PAD,S,I,0.507,-1.347607,0.044,0.075
91,ddr_odt_o_PAD,S,I,0.437,-1.347607,0.044,0.075
93,ddr_addr_0_o_PAD,S,I,0.367,-1.347607,0.044,0.075
95,ddr_addr_1_o_PAD,S,I,0.262,-1.347607,0.044,0.075
