Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
4,vss_r_0_PAD,E,O,1.439207,1.137,0.075,0.044
8,vzz_r_0_PAD,E,O,1.439207,0.997,0.075,0.044
12,vss_r_1_PAD,E,O,1.439207,0.822,0.075,0.044
16,vzz_r_1_PAD,E,O,1.439207,0.682,0.075,0.044
20,vss_r_2_PAD,E,O,1.439207,0.542,0.075,0.044
24,vzz_r_2_PAD,E,O,1.439207,0.402,0.075,0.044
28,vss_r_3_PAD,E,O,1.439207,0.227,0.075,0.044
32,vzz_r_3_PAD,E,O,1.439207,0.087,0.075,0.044
36,vss_r_4_PAD,E,O,1.439207,-0.053,0.075,0.044
40,vzz_r_4_PAD,E,O,1.439207,-0.193,0.075,0.044
44,vss_r_5_PAD,E,O,1.439207,-0.368,0.075,0.044
48,vzz_r_5_PAD,E,O,1.439207,-0.508,0.075,0.044
52,vss_r_6_PAD,E,O,1.439207,-0.648,0.075,0.044
56,vzz_r_6_PAD,E,O,1.439207,-0.788,0.075,0.044
60,vss_r_7_PAD,E,O,1.439207,-0.963,0.075,0.044
64,vzz_r_7_PAD,E,O,1.439207,-1.103,0.075,0.044
68,vss_r_8_PAD,E,O,1.439207,-1.243,0.075,0.044
72,vzz_b_0_PAD,S,O,1.137,-1.439207,0.044,0.075
76,vss_b_0_PAD,S,O,0.997,-1.439207,0.044,0.075
80,vzz_b_1_PAD,S,O,0.822,-1.439207,0.044,0.075
84,vss_b_1_PAD,S,O,0.682,-1.439207,0.044,0.075
88,vzz_b_2_PAD,S,O,0.542,-1.439207,0.044,0.075
92,vss_b_2_PAD,S,O,0.402,-1.439207,0.044,0.075
96,vzz_b_3_PAD,S,O,0.227,-1.439207,0.044,0.075
100,vss_b_3_PAD,S,O,0.087,-1.439207,0.044,0.075
104,vzz_b_4_PAD,S,O,-0.053,-1.439207,0.044,0.075
108,vss_b_4_PAD,S,O,-0.193,-1.439207,0.044,0.075
112,vzz_b_5_PAD,S,O,-0.368,-1.439207,0.044,0.075
116,vss_b_5_PAD,S,O,-0.508,-1.439207,0.044,0.075
120,vzz_b_6_PAD,S,O,-0.648,-1.439207,0.044,0.075
124,vss_b_6_PAD,S,O,-0.788,-1.439207,0.044,0.075
128,vzz_b_7_PAD,S,O,-0.963,-1.439207,0.044,0.075
132,vss_b_7_PAD,S,O,-1.103,-1.439207,0.044,0.075
136,vzz_b_8_PAD,S,O,-1.243,-1.439207,0.044,0.075
140,vss_l_0_PAD,W,O,-1.439207,-1.144,0.075,0.044
144,vzz_l_0_PAD,W,O,-1.439207,-0.996,0.075,0.044
148,vss_l_1_PAD,W,O,-1.439207,-0.811,0.075,0.044
152,vzz_l_1_PAD,W,O,-1.439207,-0.663,0.075,0.044
156,vss_l_2_PAD,W,O,-1.439207,-0.517,0.075,0.044
160,vzz_l_2_PAD,W,O,-1.439207,-0.369,0.075,0.044
164,vss_l_3_PAD,W,O,-1.439207,-0.184,0.075,0.044
168,vzz_l_3_PAD,W,O,-1.439207,-0.036,0.075,0.044
172,vss_l_4_PAD,W,O,-1.439207,0.11,0.075,0.044
176,vzz_l_4_PAD,W,O,-1.439207,0.258,0.075,0.044
180,vss_l_5_PAD,W,O,-1.439207,0.443,0.075,0.044
184,vzz_l_5_PAD,W,O,-1.439207,0.591,0.075,0.044
188,vss_l_6_PAD,W,O,-1.439207,0.737,0.075,0.044
192,vzz_l_6_PAD,W,O,-1.439207,0.885,0.075,0.044
196,vss_l_7_PAD,W,O,-1.439207,1.07,0.075,0.044
200,vzz_l_7_PAD,W,O,-1.439207,1.218,0.075,0.044
204,vss_t_0_PAD,N,O,-1.19,1.439207,0.044,0.075
208,vzz_t_0_PAD,N,O,-1.05,1.439207,0.044,0.075
212,vss_t_1_PAD,N,O,-0.875,1.439207,0.044,0.075
216,vzz_t_1_PAD,N,O,-0.735,1.439207,0.044,0.075
220,vss_t_2_PAD,N,O,-0.595,1.439207,0.044,0.075
224,vzz_t_2_PAD,N,O,-0.42,1.439207,0.044,0.075
228,vss_t_3_PAD,N,O,-0.28,1.439207,0.044,0.075
232,vzz_t_3_PAD,N,O,-0.14,1.439207,0.044,0.075
236,vss_pll_PAD,N,O,0.035,1.439207,0.044,0.075
240,vss_t_4_PAD,N,O,0.175,1.439207,0.044,0.075
244,vzz_t_4_PAD,N,O,0.315,1.439207,0.044,0.075
248,vss_t_5_PAD,N,O,0.49,1.439207,0.044,0.075
252,vzz_t_5_PAD,N,O,0.63,1.439207,0.044,0.075
256,vss_t_6_PAD,N,O,0.77,1.439207,0.044,0.075
260,vzz_t_6_PAD,N,O,0.91,1.439207,0.044,0.075
264,vss_t_7_PAD,N,O,1.085,1.439207,0.044,0.075
268,vzz_t_7_PAD,N,O,1.225,1.439207,0.044,0.075
