name,net,side,ring,center_x,center_y
VSS_L0_PAD,VSS,left,inner,115,300
VSS_L1_PAD,VSS,left,inner,115,380
VSS_L2_PAD,VSS,left,inner,115,460
VSS_L3_PAD,VSS,left,inner,115,540
VSS_L4_PAD,VSS,left,inner,115,620
VSS_L5_PAD,VSS,left,inner,115,700
VSS_L6_PAD,VSS,left,inner,115,780
VSS_L7_PAD,VSS,left,inner,115,860
VSS_L8_PAD,VSS,left,inner,115,940
VSS_L9_PAD,VSS,left,inner,115,1020
VSS_L10_PAD,VSS,left,inner,115,1100
VSS_L11_PAD,VSS,left,inner,115,1180
VSS_L12_PAD,VSS,left,inner,115,1260
VSS_L13_PAD,VSS,left,inner,115,1340
VSS_L14_PAD,VSS,left,inner,115,1420
VSS_L15_PAD,VSS,left,inner,115,1500
VSS_L16_PAD,VSS,left,inner,115,1580
VDD_L0_PAD,VDD,left,inner,275,260
VDD_L1_PAD,VDD,left,inner,275,340
VDD_L2_PAD,VDD,left,inner,275,420
VDD_L3_PAD,VDD,left,inner,275,500
VDD_L4_PAD,VDD,left,inner,275,580
VDD_L5_PAD,VDD,left,inner,275,660
VDD_L6_PAD,VDD,left,inner,275,740
VDD_L7_PAD,VDD,left,inner,275,820
VDD_L8_PAD,VDD,left,inner,275,900
VDD_L9_PAD,VDD,left,inner,275,980
VDD_L10_PAD,VDD,left,inner,275,1060
VDD_L11_PAD,VDD,left,inner,275,1140
VDD_L12_PAD,VDD,left,inner,275,1220
VDD_L13_PAD,VDD,left,inner,275,1300
VDD_L14_PAD,VDD,left,inner,275,1380
VDD_L15_PAD,VDD,left,inner,275,1460
VDD_L16_PAD,VDD,left,inner,275,1540
pad_DISABLE_i_PAD,p_pad_DISABLE_i,left,inner,275,1620
V18_R0_PAD,VDDIO,right,inner,885,380
VZZ_R0_PAD,VSSIO,right,inner,885,460
VDD_R0_PAD,VDD,right,inner,885,540
VSS_R0_PAD,VSS,right,inner,885,620
V18_R1_PAD,VDDIO,right,inner,885,700
VZZ_R1_PAD,VSSIO,right,inner,885,780
VDD_R1_PAD,VDD,right,inner,885,860
VSS_R1_PAD,VSS,right,inner,885,940
VDD_R2_PAD,VDD,right,inner,885,1020
VZZ_R2_PAD,VSSIO,right,inner,885,1100
V18_R2_PAD,VDDIO,right,inner,885,1180
VSS_R2_PAD,VSS,right,inner,885,1260
VDD_R3_PAD,VDD,right,inner,885,1340
VZZ_R3_PAD,VSSIO,right,inner,885,1420
V18_R3_PAD,VDDIO,right,inner,885,1500
pad_LINK_0_i_PAD,p_pad_LINK_0_i,right,inner,725,260
pad_LINK_1_i_PAD,p_pad_LINK_1_i,right,inner,725,340
pad_LINK_tkn_o_PAD,p_pad_LINK_tkn_o,right,inner,725,420
pad_LINK_clk_i_PAD,p_pad_LINK_clk_i,right,inner,725,500
pad_LINK_v_i_PAD,p_pad_LINK_v_i,right,inner,725,580
pad_LINK_2_i_PAD,p_pad_LINK_2_i,right,inner,725,660
pad_LINK_3_i_PAD,p_pad_LINK_3_i,right,inner,725,740
pad_TAG_data_i_PAD,p_pad_TAG_data_i,right,inner,725,820
pad_TAG_clk_i_PAD,p_pad_TAG_clk_i,right,inner,725,900
pad_EXT_clk_i_PAD,p_pad_EXT_clk_i,right,inner,725,980
pad_MON_clk_o_PAD,p_pad_MON_clk_o,right,inner,725,1060
pad_LINK_3_o_PAD,p_pad_LINK_3_o,right,inner,725,1140
pad_LINK_2_o_PAD,p_pad_LINK_2_o,right,inner,725,1220
pad_LINK_v_o_PAD,p_pad_LINK_v_o,right,inner,725,1300
pad_LINK_tkn_i_PAD,p_pad_LINK_tkn_i,right,inner,725,1380
pad_LINK_clk_o_PAD,p_pad_LINK_clk_o,right,inner,725,1460
pad_LINK_1_o_PAD,p_pad_LINK_1_o,right,inner,725,1540
pad_LINK_0_o_PAD,p_pad_LINK_0_o,right,inner,725,1620
