Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
72,VSS_L0_PAD,S,O,0.65,-0.3855,0.044,0.075
76,VSS_L1_PAD,S,O,0.57,-0.3855,0.044,0.075
80,VSS_L2_PAD,S,O,0.49,-0.3855,0.044,0.075
84,VSS_L3_PAD,S,O,0.41,-0.3855,0.044,0.075
88,VSS_L4_PAD,S,O,0.33,-0.3855,0.044,0.075
92,VSS_L5_PAD,S,O,0.25,-0.3855,0.044,0.075
96,VSS_L6_PAD,S,O,0.17,-0.3855,0.044,0.075
100,VSS_L7_PAD,S,O,0.09,-0.3855,0.044,0.075
104,VSS_L8_PAD,S,O,0.01,-0.3855,0.044,0.075
108,VSS_L9_PAD,S,O,-0.07,-0.3855,0.044,0.075
112,VSS_L10_PAD,S,O,-0.15,-0.3855,0.044,0.075
116,VSS_L11_PAD,S,O,-0.23,-0.3855,0.044,0.075
120,VSS_L12_PAD,S,O,-0.31,-0.3855,0.044,0.075
124,VSS_L13_PAD,S,O,-0.39,-0.3855,0.044,0.075
128,VSS_L14_PAD,S,O,-0.47,-0.3855,0.044,0.075
132,VSS_L15_PAD,S,O,-0.55,-0.3855,0.044,0.075
136,VSS_L16_PAD,S,O,-0.63,-0.3855,0.044,0.075
206,V18_R3_PAD,N,O,-0.55,0.385,0.044,0.075
212,VZZ_R3_PAD,N,O,-0.47,0.385,0.044,0.075
218,VDD_R3_PAD,N,O,-0.39,0.385,0.044,0.075
220,VSS_R2_PAD,N,O,-0.31,0.385,0.044,0.075
222,V18_R2_PAD,N,O,-0.23,0.385,0.044,0.075
224,VZZ_R2_PAD,N,O,-0.15,0.385,0.044,0.075
226,VDD_R2_PAD,N,O,-0.07,0.385,0.044,0.075
232,VSS_R1_PAD,N,O,0.01,0.385,0.044,0.075
238,VDD_R1_PAD,N,O,0.09,0.385,0.044,0.075
240,VZZ_R1_PAD,N,O,0.17,0.385,0.044,0.075
242,V18_R1_PAD,N,O,0.25,0.385,0.044,0.075
244,VSS_R0_PAD,N,O,0.33,0.385,0.044,0.075
246,VDD_R0_PAD,N,O,0.41,0.385,0.044,0.075
252,VZZ_R0_PAD,N,O,0.49,0.385,0.044,0.075
258,V18_R0_PAD,N,O,0.57,0.385,0.044,0.075
