Die#,Pad Name,Side,Layer,Die X,Die Y,Width,Height
70,VDD_L0_PAD,S,I,0.69,-0.2255,0.044,0.075
74,VDD_L1_PAD,S,I,0.61,-0.2255,0.044,0.075
78,VDD_L2_PAD,S,I,0.53,-0.2255,0.044,0.075
82,VDD_L3_PAD,S,I,0.45,-0.2255,0.044,0.075
86,VDD_L4_PAD,S,I,0.37,-0.2255,0.044,0.075
90,VDD_L5_PAD,S,I,0.29,-0.2255,0.044,0.075
94,VDD_L6_PAD,S,I,0.21,-0.2255,0.044,0.075
98,VDD_L7_PAD,S,I,0.13,-0.2255,0.044,0.075
102,VDD_L8_PAD,S,I,0.05,-0.2255,0.044,0.075
106,VDD_L9_PAD,S,I,-0.03,-0.2255,0.044,0.075
110,VDD_L10_PAD,S,I,-0.11,-0.2255,0.044,0.075
114,VDD_L11_PAD,S,I,-0.19,-0.2255,0.044,0.075
118,VDD_L12_PAD,S,I,-0.27,-0.2255,0.044,0.075
122,VDD_L13_PAD,S,I,-0.35,-0.2255,0.044,0.075
126,VDD_L14_PAD,S,I,-0.43,-0.2255,0.044,0.075
130,VDD_L15_PAD,S,I,-0.51,-0.2255,0.044,0.075
134,VDD_L16_PAD,S,I,-0.59,-0.2255,0.044,0.075
218,VDD_R3_PAD,N,O,-0.39,0.385,0.044,0.075
226,VDD_R2_PAD,N,O,-0.07,0.385,0.044,0.075
238,VDD_R1_PAD,N,O,0.09,0.385,0.044,0.075
246,VDD_R0_PAD,N,O,0.41,0.385,0.044,0.075
